Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,136,40,176,,,,,,2,1,3,20,7,27,,,,4,3,7,1,,1,,,,163,51,214,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,119,31,150,,,,,,1,1,2,13,6,19,,,,3,1,4,1,,1,,,,137,39,176,
,22-25,10,6,16,,,,,,1,,1,6,1,7,,,,1,1,2,,,,,,,18,8,26,
,26-30,3,1,4,,,,,,,,,1,,1,,,,,,,,,,,,,4,1,5,
,31-39,3,1,4,,,,,,,,,,,,,,,,1,1,,,,,,,3,2,5,
,40+,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Freshman,3,1,4,,,,,,,,,1,,1,,,,,,,,,,,,,4,1,5,
,Sophomore,63,15,78,,,,,,,,,9,3,12,,,,3,2,5,1,,1,,,,76,20,96,
,Junior,62,23,85,,,,,,2,1,3,10,4,14,,,,1,1,2,,,,,,,75,29,104,
,Senior,8,1,9,,,,,,,,,,,,,,,,,,,,,,,,8,1,9,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,134,37,171,,,,,,2,1,3,20,7,27,,,,4,2,6,,,,,,,160,47,207,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,Tuition,2,3,5,,,,,,,,,,,,,,,,1,1,,,,,,,2,4,6,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,136,40,176,,,,,,2,1,3,20,7,27,,,,4,2,6,,,,,,,162,50,212,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,2,2,
,9-11 SCH,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,
,12-14 SCH,43,22,65,,,,,,1,,1,10,4,14,,,,3,,3,,,,,,,57,26,83,
,15-17 SCH,88,14,102,,,,,,1,1,2,10,3,13,,,,1,2,3,1,,1,,,,101,20,121,
,>17 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Less Than Half Time,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,Half-Time,3,3,6,,,,,,,,,,,,,,,,1,1,,,,,,,3,4,7,
,Full-Time,131,37,168,,,,,,2,1,3,20,7,27,,,,4,2,6,1,,1,,,,158,47,205,
,No,128,35,163,,,,,,2,1,3,19,6,25,,,,4,3,7,1,,1,,,,154,45,199,
,Yes,8,5,13,,,,,,,,,1,1,2,,,,,,,,,,,,,9,6,15,
,No,95,27,122,,,,,,1,,1,7,4,11,,,,4,2,6,,,,,,,107,33,140,
,Unknown,4,1,5,,,,,,,,,,,,,,,,,,1,,1,,,,5,1,6,
,Yes,37,12,49,,,,,,1,1,2,13,3,16,,,,,1,1,,,,,,,51,17,68,
,Off-campus,135,38,173,,,,,,2,1,3,20,7,27,,,,4,3,7,1,,1,,,,162,49,211,
,Dorm  (On-campus),1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
