American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,,1,1,7,,9,,1,1,3,3,,,13,
Engineering,AERL,1,,,,,1,,,,,,,,1,
,AERO,,1,,1,,2,,,,,,,,2,
,BIOT,,,,,,,,,,,,,,,
,BMEL,1,,,,,1,,,,,,,,1,
,BMEN,,,,,,,,,,,,,,,
,CECL,1,,,,,1,,,,,,,,1,
,CECN,,1,,1,,2,,,,,,,,2,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,,
,CHEL,,,1,,,1,,,,,,,,1,
,CHEN,,,,1,,1,,,,,,,,1,
,CPSC,,,,1,,1,,,,,,,,1,
,CPSL,1,,,,,1,,,,,,,,1,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,,,,,,,,,,,,,,
,ELEL,,,1,,,1,,,,,,,,1,
,ELEN,,,,,,,,,,,,,,,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,1,,1,,,2,,,,,,,,2,
,IDIS,,,1,,,1,,,,,,,,1,
,INEL,,1,,,,1,,,,,,,,1,
,INEN,,,1,,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,1,,,,,1,,,,,,,,1,
,MEEN,,,1,4,,5,,,,1,1,,,6,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,,,,,,,,,,,,,
,OCEL,1,,,,,1,,,,,,,,1,
