Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,6,39,45,,,,,,,,,3,5,8,,,,,,,1,,1,,1,1,10,45,55,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,6,32,38,,,,,,,,,3,2,5,,,,,,,1,,1,,,,10,34,44,
,22-25,,4,4,,,,,,,,,,2,2,,,,,,,,,,,,,,6,6,
,26-30,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
,31-39,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,2,2,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,1,5,6,,,,,,,,,,1,1,,,,,,,,,,,,,1,6,7,
,Sophomore,4,28,32,,,,,,,,,3,2,5,,,,,,,1,,1,,1,1,8,31,39,
,Junior,1,5,6,,,,,,,,,,2,2,,,,,,,,,,,,,1,7,8,
,Senior,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,5,35,40,,,,,,,,,3,4,7,,,,,,,,,,,,,8,39,47,
,Non-Resident  Tuition,,1,1,,,,,,,,,,1,1,,,,,,,1,,1,,,,1,2,3,
,Tuition,1,3,4,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,5,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,6,38,44,,,,,,,,,3,4,7,,,,,,,,,,,1,1,9,43,52,
,"Non-TX, US Resident",,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,2,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,5,5,,,,,,,,,1,,1,,,,,,,,,,,,,1,5,6,
,12-14 SCH,2,25,27,,,,,,,,,2,4,6,,,,,,,1,,1,,,,5,29,34,
,15-17 SCH,4,9,13,,,,,,,,,,1,1,,,,,,,,,,,1,1,4,11,15,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,5,5,
,Full-Time,6,34,40,,,,,,,,,3,5,8,,,,,,,1,,1,,1,1,10,40,50,
,No,5,38,43,,,,,,,,,3,5,8,,,,,,,1,,1,,1,1,9,44,53,
,Yes,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,No,5,29,34,,,,,,,,,3,2,5,,,,,,,,,,,,,8,31,39,
,Unknown,,2,2,,,,,,,,,,,,,,,,,,1,,1,,,,1,2,3,
,Yes,1,8,9,,,,,,,,,,3,3,,,,,,,,,,,1,1,1,12,13,
,Off-campus,6,39,45,,,,,,,,,3,5,8,,,,,,,1,,1,,1,1,10,45,55,
,Dorm  (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
