Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,141,179,320,1,1,7,2,9,,5,5,22,27,49,,1,1,5,5,10,,4,4,1,1,2,177,224,401,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,114,131,245,1,1,7,1,8,,4,4,18,19,37,,1,1,5,2,7,,3,3,,1,1,145,162,307,
,22-25,20,37,57,,,,1,1,,1,1,3,4,7,,,,,3,3,,,,,,,23,46,69,
,26-30,3,8,11,,,,,,,,,,1,1,,,,,,,,1,1,1,,1,4,10,14,
,31-39,4,,4,,,,,,,,,1,3,4,,,,,,,,,,,,,5,3,8,
,40+,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
,Freshman,9,5,14,,,,,,,1,1,2,,2,,,,,,,,,,,,,11,6,17,
,Sophomore,66,86,152,1,1,4,1,5,,3,3,11,12,23,,1,1,4,2,6,,2,2,,,,86,107,193,
,Junior,60,78,138,,,3,,3,,1,1,9,12,21,,,,1,3,4,,1,1,,1,1,73,96,169,
,Senior,5,9,14,,,,1,1,,,,,3,3,,,,,,,,1,1,1,,1,6,14,20,
,PB,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Resident Tuition,133,168,301,1,1,6,2,8,,3,3,18,26,44,,1,1,4,5,9,,,,1,1,2,163,206,369,
,Non-Resident  Tuition,3,3,6,,,1,,1,,2,2,1,,1,,,,,,,,2,2,,,,5,7,12,
,Tuition,5,8,13,,,,,,,,,3,1,4,,,,1,,1,,2,2,,,,9,11,20,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,138,173,311,1,1,6,2,8,,3,3,21,26,47,,1,1,4,5,9,,,,1,1,2,171,211,382,
,"Non-TX, US Resident",3,6,9,,,,,,,2,2,1,1,2,,,,1,,1,,,,,,,5,9,14,
,"Non-TX, Non-US",,,,,,1,,1,,,,,,,,,,,,,,4,4,,,,1,4,5,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,2,5,7,,,,,,,,,,1,1,,,,,,,,,,,,,2,6,8,
,9-11 SCH,5,5,10,,,,,,,,,,,,,,,2,,2,,,,,1,1,7,6,13,
,12-14 SCH,76,105,181,,,5,2,7,,3,3,14,18,32,,1,1,1,3,4,,3,3,1,,1,97,135,232,
,15-17 SCH,56,61,117,1,1,2,,2,,2,2,6,6,12,,,,1,1,2,,1,1,,,,66,71,137,
,>17 SCH,2,2,4,,,,,,,,,2,2,4,,,,1,1,2,,,,,,,5,5,10,
,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,7,10,17,,,,1,1,,,,,1,1,,,,2,,2,,,,,1,1,9,13,22,
,Full-Time,134,168,302,1,1,7,1,8,,5,5,22,26,48,,1,1,3,5,8,,4,4,1,,1,168,210,378,
,No,125,169,294,1,1,6,2,8,,5,5,17,23,40,,1,1,4,5,9,,4,4,1,1,2,154,210,364,
,Yes,16,10,26,,,1,,1,,,,5,4,9,,,,1,,1,,,,,,,23,14,37,
,No,99,127,226,1,1,4,1,5,,2,2,14,15,29,,,,2,2,4,,,,1,1,2,121,148,269,
,Unknown,2,6,8,,,,1,1,,,,,,,,,,,,,,4,4,,,,2,11,13,
,Yes,40,46,86,,,3,,3,,3,3,8,12,20,,1,1,3,3,6,,,,,,,54,65,119,
,Off-campus,139,177,316,1,1,7,2,9,,5,5,21,26,47,,1,1,5,4,9,,4,4,1,1,2,174,220,394,
,Dorm  (On-campus),2,2,4,,,,,,,,,1,1,2,,,,,1,1,,,,,,,3,4,7,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
