Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,308,99,407,3,,3,36,12,48,21,5,26,111,33,144,,1,1,12,10,22,,,,,1,1,491,161,652,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,3,,3,,,,1,,1,3,,3,1,,1,,,,,,,,,,,,,8,,8,
,18-21,305,99,404,3,,3,35,12,47,18,5,23,110,33,143,,1,1,12,10,22,,,,,1,1,483,161,644,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,280,85,365,2,,2,30,10,40,18,5,23,100,25,125,,1,1,12,9,21,,,,,1,1,442,136,578,
,Sophomore,26,14,40,1,,1,4,2,6,1,,1,11,5,16,,,,,1,1,,,,,,,43,22,65,
,Junior,2,,2,,,,2,,2,2,,2,,3,3,,,,,,,,,,,,,6,3,9,
,Resident Tuition,272,93,365,3,,3,32,10,42,20,5,25,100,32,132,,1,1,11,10,21,,,,,1,1,438,152,590,
,Non-Resident Tuition,9,,9,,,,1,1,2,,,,,,,,,,,,,,,,,,,10,1,11,
,Tuition,27,6,33,,,,3,1,4,1,,1,11,1,12,,,,1,,1,,,,,,,43,8,51,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,297,99,396,3,,3,34,11,45,21,5,26,111,33,144,,1,1,12,10,22,,,,,1,1,478,160,638,
,"Non-TX, US Resident",11,,11,,,,2,1,3,,,,,,,,,,,,,,,,,,,13,1,14,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,151,61,212,2,,2,22,6,28,14,2,16,66,20,86,,1,1,6,7,13,,,,,,,261,97,358,
,15-17 SCH,156,38,194,1,,1,13,6,19,7,3,10,44,13,57,,,,6,3,9,,,,,1,1,227,64,291,
,>17 SCH,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,2,,2,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,Full-Time,305,99,404,3,,3,36,12,48,21,5,26,111,33,144,,1,1,12,10,22,,,,,1,1,488,161,649,
,No,103,37,140,1,,1,18,6,24,3,2,5,23,6,29,,,,2,5,7,,,,,,,150,56,206,
,Yes,205,62,267,2,,2,18,6,24,18,3,21,88,27,115,,1,1,10,5,15,,,,,1,1,341,105,446,
,No,236,81,317,2,,2,20,10,30,11,,11,41,9,50,,,,8,5,13,,,,,1,1,318,106,424,
,Unknown,4,1,5,,,,1,,1,,,,3,,3,,,,,,,,,,,,,8,1,9,
,Yes,68,17,85,1,,1,15,2,17,10,5,15,67,24,91,,1,1,4,5,9,,,,,,,165,54,219,
,Off-campus,109,34,143,1,,1,11,5,16,4,2,6,35,10,45,,1,1,1,2,3,,,,,,,161,54,215,
,Dorm (On-campus),199,65,264,2,,2,25,7,32,17,3,20,76,23,99,,,,11,8,19,,,,,1,1,330,107,437,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
