Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,13,132,145,,,10,16,26,,7,7,6,37,43,,,,,4,4,13,56,69,,3,3,42,255,297,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,13,99,112,,,5,8,13,,6,6,2,31,33,,,,,4,4,12,37,49,,,,32,185,217,
,22-25,,21,21,,,5,8,13,,,,3,3,6,,,,,,,1,18,19,,1,1,9,51,60,
,26-30,,9,9,,,,,,,1,1,1,3,4,,,,,,,,1,1,,1,1,1,15,16,
,31-39,,3,3,,,,,,,,,,,,,,,,,,,,,,1,1,,4,4,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,3,3,,,1,1,2,,,,,,,,,,,1,1,,2,2,,,,1,7,8,
,Sophomore,6,53,59,,,4,5,9,,1,1,1,12,13,,,,,2,2,8,25,33,,,,19,98,117,
,Junior,4,60,64,,,2,6,8,,6,6,2,23,25,,,,,,,4,24,28,,3,3,12,122,134,
,Senior,2,14,16,,,3,3,6,,,,2,2,4,,,,,1,1,1,4,5,,,,8,24,32,
,PB,1,2,3,,,,1,1,,,,1,,1,,,,,,,,1,1,,,,2,4,6,
,Resident Tuition,13,125,138,,,10,14,24,,6,6,5,32,37,,,,,3,3,,1,1,,2,2,28,183,211,
,Non-Resident  Tuition,,2,2,,,,2,2,,,,1,2,3,,,,,1,1,12,42,54,,1,1,13,50,63,
,Tuition,,5,5,,,,,,,1,1,,3,3,,,,,,,1,13,14,,,,1,22,23,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,13,128,141,,,10,14,24,,6,6,6,33,39,,,,,3,3,,1,1,,2,2,29,187,216,
,"Non-TX, US Resident",,4,4,,,,2,2,,1,1,,4,4,,,,,1,1,,,,,,,,12,12,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,13,55,68,,1,1,13,56,69,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
,6-8 SCH,,4,4,,,,,,,,,,1,1,,,,,,,1,,1,,,,1,5,6,
,9-11 SCH,1,2,3,,,,1,1,,,,1,2,3,,,,,,,,1,1,,1,1,2,7,9,
,12-14 SCH,9,96,105,,,5,11,16,,5,5,5,27,32,,,,,4,4,8,34,42,,2,2,27,179,206,
,15-17 SCH,3,26,29,,,4,4,8,,2,2,,7,7,,,,,,,4,16,20,,,,11,55,66,
,>17 SCH,,,,,,1,,1,,,,,,,,,,,,,,5,5,,,,1,5,6,
,Less Than Half Time,,4,4,,,,,,,,,,,,,,,,,,,1,1,,,,,5,5,
,Half-Time,1,7,8,,,,1,1,,,,1,4,5,,,,,,,1,3,4,,1,1,3,16,19,
,Full-Time,12,121,133,,,10,15,25,,7,7,5,33,38,,,,,4,4,12,52,64,,2,2,39,234,273,
,No,8,119,127,,,10,16,26,,7,7,4,31,35,,,,,4,4,13,56,69,,3,3,35,236,271,
,Yes,5,13,18,,,,,,,,,2,6,8,,,,,,,,,,,,,7,19,26,
,No,12,87,99,,,7,7,14,,3,3,1,16,17,,,,,3,3,,,,,,,20,116,136,
,Unknown,,5,5,,,1,2,3,,,,,1,1,,,,,,,13,55,68,,1,1,14,64,78,
,Yes,1,40,41,,,2,7,9,,4,4,5,20,25,,,,,1,1,,1,1,,2,2,8,75,83,
,Off-campus,12,129,141,,,10,16,26,,7,7,4,34,38,,,,,4,4,10,55,65,,3,3,36,248,284,
,Dorm  (On-campus),1,3,4,,,,,,,,,2,3,5,,,,,,,3,1,4,,,,6,7,13,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
