American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,,,,,,,,,,,,,,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,,,1,,,,,,,,1,
,BUAD,,,,,,,,,,,,,,,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,1,1,,2,,1,1,,,,,3,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,1,,,1,,,,,,,,1,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,,,4,1,,5,,1,1,,,,,6,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,,,,,,
,EDAD,,,,,,,,,,2,2,,,2,
,EDCI,,,,,,,,1,1,1,1,,,2,
,EDHL,,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,,
,EDKI,,1,,,,1,,,,,,,,1,
,EDSM,,,1,,,1,,,,,,,,1,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,,,,,,
,EPSY,,,,,,,,,,,,,,,
,HEED,,,,,,,,,,,,,,,
,HLTH,,,,2,,2,,,,,,,,2,
,HRDL,,,,,,,,,,,,,,,
,HRDV,,,,,,,,,,,,,,,
,INST,,,,1,,1,,,,,,,,1,
,KINE,,,,4,,4,,,,,,,,4,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,,
