First Generation FTIC Students (College Station Campus),,,,,,
Fall 2011,,,,,,
Fall 2011,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,251,"2,064","5,939","8,254",
Gender,Female,107,"1,142","2,927","4,176",
Male,,144,922,"3,012","4,078",
Ethnicity,White Only (NEW),101,881,"4,644","5,626",
American Indian Only (NEW),,1,3,19,23,
Asian Only (NEW),,15,167,277,459,
Black Only + 2 or more/1 Black (NEW),,19,149,110,278,
Hispanic or Latino of any Race (NEW),,49,823,722,"1,594",
Native Hawaii Only (New),,,2,5,7,
2 or More/Excluding Black (NEW),,5,38,152,195,
International,,58,,1,59,
Unknown or Not Reported,,3,1,9,13,
TAMU Age Categories,<18,4,6,44,54,
18-21,,247,"2,057","5,892","8,196",
22-25,,,1,3,4,
College,Agriculture,22,193,433,648,
Architecture,,3,60,124,187,
Business Admin,,13,134,586,733,
Education,,14,135,387,536,
Engineering,,40,307,"1,287","1,634",
Geosciences,,7,32,83,122,
Liberal Arts,,26,170,505,701,
Science,,31,236,530,797,
Veterinary Medicine,,9,219,424,652,
General Studies,,86,578,"1,580","2,244",
Enrollment Status,1st Time in College,251,"2,064","5,939","8,254",
Tuition Status,Resident Tuition,175,"1,888","5,391","7,454",
Non-Resident Tuition,,51,8,80,139,
Tuition  Exemption/Waiver,,25,168,468,661,
Residency Status,Texas Resident,182,"2,023","5,699","7,904",
"Non-TX, US Resident",,10,41,239,290,
"Non-TX, Non-US Resident",,59,,1,60,
SCH Categories,< 6 SCH,14,121,450,585,
6-8 SCH,,,3,26,29,
9-11 SCH,,1,7,24,32,
12-14 SCH,,142,"1,277","3,347","4,766",
15-17 SCH,,88,649,"2,080","2,817",
>17 SCH,,6,7,12,25,
Ft/Pt: TAMU Status,Less Than Half Time,17,121,450,588,
Half-Time,,4,10,56,70,
Full-Time,,230,"1,933","5,433","7,596",
Top 10% Texas High,No,141,625,"3,026","3,792",
School,Yes,110,"1,439","2,913","4,462",
"Prepared by DARS, 25 Jan 12",,,,,,
Page 189,,,,,,
