2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,,,1,,1,,1,1,,,,,2,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,1,,,1,,,,,,,,1,
,RENR,,,,,,,,,,,,,,,
,RLEM,,1,2,,,3,,,,,,,,3,
,RPTS,1,2,,1,,4,,,,,,,,4,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,1,1,,2,,,,,,,,2,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,2,,2,,,,,,,,2,
,WFSC,2,,5,1,,8,,,,,,,,8,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,1,1,,,,,1,
,Subtotal,17,20,29,36,1,103,,10,10,,,,,113,
Architecture,ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,3,2,,5,,,,,,,,5,
,COSL,,1,1,,,2,,,,,,,,2,
,ENDL,2,2,,1,,5,,,,,,,,5,
,ENDS,,,1,3,,4,,,,,,,,4,
,LAND,,,2,1,,3,,1,1,,,,,4,
,LANL,,,1,,,1,,,,,,,,1,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,,,,,,,,,,,,
,USAR,,,2,,,2,,,,,,,,2,
,VISL,1,1,,,,2,,,,,,,,2,
,VIST,,,,,,,,1,1,,,,,1,
,Subtotal,3,4,10,7,,24,,4,4,,,,,28,
