2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,1,3,3,,7,,1,1,,,,,8,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1,
,BUAD,11,11,2,,,24,,,,,,,,24,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,,,,,,,,
,FINC,,,1,6,,7,,,,,,,,7,
,INFO,,,3,3,,6,,,,,,,,6,
,MGMT,,,2,3,,5,,,,,,,,5,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,3,4,,7,,,,,,,,7,
,MLER,,,,,,,,,,,,,,,
,USBU,,,2,4,,6,,,,,,,,6,
,Subtotal,11,12,16,24,,63,,1,1,,,,,64,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,1,1,1,1,,,2,
,EDAD,,,,,,,,,,1,1,,,1,
,EDCI,,,,,,,1,2,3,4,4,,,7,
,EDHL,2,5,3,,,10,,,,,,,,10,
,EDIS,2,6,1,,,9,,,,,,,,9,
,EDKI,5,14,1,,,20,,,,,,,,20,
,EDSM,2,,2,1,,5,,,,,,,,5,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,1,1,1,1,,,2,
,EPSY,,,,,,,,1,1,2,2,,,3,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,,2,,2,,,,,,,,2,
,HRDL,,,,,,,,,,,,,,,
,HRDV,,,,2,,2,,,,,,,,2,
,INST,,,3,9,,12,,,,,,,,12,
,KINE,,,,2,,2,,,,,,,,2,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,2,,2,,1,1,,,,,3,
,SPSY,,,,,,,,1,1,,,,,1,
,TCMG,,,,1,,1,,,,,,,,1,
