Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"8,329",100.0%,"1,620",100.0%,"1,230",100.0%,,,"11,179",100.0%,
Female,,"1,548",18.6%,358,22.1%,223,18.1%,,,"2,129",19.0%,
Male,,"6,781",81.4%,"1,262",77.9%,"1,007",81.9%,,,"9,050",81.0%,
Ethnicity,White Only (NEW),"5,709",68.5%,475,29.3%,219,17.8%,,,"6,403",57.3%,
American Indian Only (NEW),,29,.3%,1,.1%,1,.1%,,,31,.3%,
Asian Only (NEW),,496,6.0%,74,4.6%,36,2.9%,,,606,5.4%,
Black Only + 2 or more/1 Black,,242,2.9%,31,1.9%,24,2.0%,,,297,2.7%,
Hispanic or Latino of any Race,,"1,329",16.0%,101,6.2%,41,3.3%,,,"1,471",13.2%,
Native Hawaii Only (New),,13,.2%,,,1,.1%,,,14,.1%,
2 or More/Excluding Black (NEW),,164,2.0%,19,1.2%,3,.2%,,,186,1.7%,
International,,329,4.0%,905,55.9%,901,73.3%,,,"2,135",19.1%,
Unknown or Not Reported,,18,.2%,14,.9%,4,.3%,,,36,.3%,
TAMU Age Categories,<18,15,.2%,1,.1%,,,,,16,.1%,
18-21,,"5,889",70.7%,28,1.7%,,,,,"5,917",52.9%,
22-25,,"2,220",26.7%,"1,042",64.3%,170,13.8%,,,"3,432",30.7%,
26-30,,139,1.7%,405,25.0%,665,54.1%,,,"1,209",10.8%,
31-39,,59,.7%,116,7.2%,365,29.7%,,,540,4.8%,
40+,,7,.1%,28,1.7%,30,2.4%,,,65,.6%,
Enrollment Status,1st Time in College,"1,634",19.6%,,,,,,,"1,634",14.6%,
1st Time PB,,,,11,.7%,,,,,11,.1%,
1st Time Graduate,,,,590,36.4%,203,16.5%,,,793,7.1%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,297,3.6%,,,,,,,297,2.7%,
Readmitted,,61,.7%,1,.1%,2,.2%,,,64,.6%,
Continuing,,"6,337",76.1%,"1,018",62.8%,"1,025",83.3%,,,"8,380",75.0%,
Tuition Status,Resident Tuition,"7,433",89.2%,519,32.0%,192,15.6%,,,"8,144",72.9%,
Non-Resident  Tuition,,310,3.7%,574,35.4%,195,15.9%,,,"1,079",9.7%,
Tuition  Exemption/Waiver,,586,7.0%,527,32.5%,843,68.5%,,,"1,956",17.5%,
Residency Status,Texas Resident,"7,662",92.0%,548,33.8%,211,17.2%,,,"8,421",75.3%,
"Non-TX, US Resident",,337,4.0%,164,10.1%,113,9.2%,,,614,5.5%,
"Non-TX, Non-US Resident",,330,4.0%,908,56.0%,906,73.7%,,,"2,144",19.2%,
SCH Categories,< 6 SCH,85,1.0%,233,14.4%,139,11.3%,,,457,4.1%,
6-8 SCH,,122,1.5%,73,4.5%,14,1.1%,,,209,1.9%,
9-11 SCH,,265,3.2%,"1,209",74.6%,"1,026",83.4%,,,"2,500",22.4%,
12-14 SCH,,"4,545",54.6%,99,6.1%,38,3.1%,,,"4,682",41.9%,
15-17 SCH,,"3,120",37.5%,6,.4%,13,1.1%,,,"3,139",28.1%,
>17 SCH,,192,2.3%,,,,,,,192,1.7%,
Ft/Pt: TAMU Status,Less Than Half Time,36,.4%,189,11.7%,103,8.4%,,,328,2.9%,
Half-Time,,388,4.7%,89,5.5%,30,2.4%,,,507,4.5%,
Full-Time,,"7,905",94.9%,"1,342",82.8%,"1,097",89.2%,,,"10,344",92.5%,
Top 10% Texas High,No,"4,274",51.3%,"1,590",98.1%,"1,179",95.9%,,,"7,043",63.0%,
School,Yes,"4,055",48.7%,30,1.9%,51,4.1%,,,"4,136",37.0%,
First Generation,No,"6,141",73.7%,926,57.2%,688,55.9%,,,"7,755",69.4%,
Unknown,,477,5.7%,379,23.4%,184,15.0%,,,"1,040",9.3%,
Yes,,"1,711",20.5%,315,19.4%,358,29.1%,,,"2,384",21.3%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 7,,,,,,,,,,,,
