Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,600,661,"1,261",2,2,31,33,64,8,24,32,115,151,266,1,1,2,13,16,29,31,79,110,3,7,10,804,972,"1,776",
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,18-21,526,516,"1,042",2,2,20,19,39,6,20,26,91,123,214,,1,1,12,11,23,26,52,78,1,3,4,684,745,"1,429",
,22-25,48,101,149,,,7,13,20,1,3,4,17,18,35,1,,1,1,4,5,5,25,30,1,1,2,81,165,246,
,26-30,10,32,42,,,1,1,2,,1,1,5,4,9,,,,,,,,2,2,1,1,2,17,41,58,
,31-39,10,6,16,,,2,,2,1,,1,1,6,7,,,,,1,1,,,,,2,2,14,15,29,
,40+,5,5,10,,,1,,1,,,,1,,1,,,,,,,,,,,,,7,5,12,
,Freshman,42,32,74,,,1,2,3,1,2,3,7,6,13,,,,,1,1,,3,3,,,,51,46,97,
,Sophomore,312,365,677,2,2,15,15,30,4,9,13,58,71,129,1,1,2,10,9,19,15,35,50,,2,2,417,507,924,
,Junior,217,231,448,,,11,10,21,3,12,15,45,67,112,,,,3,5,8,13,35,48,2,5,7,294,365,659,
,Senior,26,28,54,,,4,5,9,,1,1,4,6,10,,,,,1,1,3,5,8,1,,1,38,46,84,
,PB,3,5,8,,,,1,1,,,,1,1,2,,,,,,,,1,1,,,,4,8,12,
,Resident Tuition,569,618,"1,187",2,2,30,30,60,7,21,28,104,140,244,1,1,2,12,14,26,,1,1,2,4,6,727,829,"1,556",
,Non-Resident  Tuition,9,12,21,,,1,3,4,,2,2,3,5,8,,,,,1,1,23,54,77,,2,2,36,79,115,
,Tuition,22,31,53,,,,,,1,1,2,8,6,14,,,,1,1,2,8,24,32,1,1,2,41,64,105,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,588,639,"1,227",2,2,30,31,61,8,21,29,113,142,255,1,1,2,12,14,26,,1,1,3,6,9,757,855,"1,612",
,"Non-TX, US Resident",12,22,34,,,,2,2,,3,3,1,9,10,,,,1,2,3,,,,,,,14,38,52,
,"Non-TX, Non-US",,,,,,1,,1,,,,1,,1,,,,,,,31,78,109,,1,1,33,79,112,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,3,7,10,,,,,,,1,1,2,,2,,,,,,,,,,,,,5,8,13,
,6-8 SCH,10,10,20,,,1,,1,,,,,3,3,,,,,1,1,1,,1,,,,12,14,26,
,9-11 SCH,17,22,39,,,,2,2,1,,1,3,2,5,,,,2,,2,,1,1,,2,2,23,29,52,
,12-14 SCH,280,382,662,1,1,18,24,42,2,10,12,71,104,175,1,1,2,6,9,15,18,45,63,2,3,5,399,578,977,
,15-17 SCH,286,235,521,1,1,11,7,18,5,13,18,37,40,77,,,,4,5,9,11,26,37,1,2,3,356,328,684,
,>17 SCH,4,5,9,,,1,,1,,,,2,2,4,,,,1,1,2,1,7,8,,,,9,15,24,
,Less Than Half Time,3,7,10,,,,,,,1,1,2,,2,,,,,,,,1,1,,,,5,9,14,
,Half-Time,30,33,63,,,1,3,4,1,,1,2,7,9,,,,2,1,3,1,3,4,,2,2,37,49,86,
,Full-Time,567,621,"1,188",2,2,30,30,60,7,23,30,111,144,255,1,1,2,11,15,26,30,75,105,3,5,8,762,914,"1,676",
,No,529,604,"1,133",2,2,28,31,59,8,23,31,97,133,230,1,1,2,11,16,27,30,79,109,3,7,10,709,894,"1,603",
,Yes,71,57,128,,,3,2,5,,1,1,18,18,36,,,,2,,2,1,,1,,,,95,78,173,
,No,418,465,883,2,2,15,16,31,3,10,13,58,78,136,,,,8,9,17,,,,2,2,4,506,580,"1,086",
,Unknown,9,16,25,,,1,3,4,1,,1,3,4,7,,,,,1,1,31,78,109,1,2,3,46,104,150,
,Yes,173,180,353,,,15,14,29,4,14,18,54,69,123,1,1,2,5,6,11,,1,1,,3,3,252,288,540,
,Off-campus,585,640,"1,225",2,2,30,31,61,7,21,28,106,139,245,1,1,2,13,14,27,28,78,106,3,7,10,775,931,"1,706",
,Dorm  (On-campus),15,21,36,,,1,2,3,1,3,4,9,12,21,,,,,2,2,3,1,4,,,,29,41,70,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
