Demographic Summary by Texas Top 10% Status,,,,,,,,
First-Time In College Students (College Station Campus) Fall 2011,,,,,,,,
Fall 2011,,Top 10% Texas High School,,,,Grand Total,,
,,No,,Yes,,#,%,
,,#,%,#,%,,,
Headcount Total,,"3,792",45.9%,"4,462",54.1%,"8,254",100.0%,
Gender,Female,"1,722",41.2%,"2,454",58.8%,"4,176",100.0%,
Male,,"2,070",50.8%,"2,008",49.2%,"4,078",100.0%,
Ethnicity,White Only (NEW),"2,739",48.7%,"2,887",51.3%,"5,626",100.0%,
American Indian Only (NEW),,13,56.5%,10,43.5%,23,100.0%,
Asian Only (NEW),,234,51.0%,225,49.0%,459,100.0%,
Black Only + 2 or more/1 Black (NEW),,100,36.0%,178,64.0%,278,100.0%,
Hispanic or Latino of any Race (NEW),,550,34.5%,"1,044",65.5%,"1,594",100.0%,
Native Hawaii Only (New),,3,42.9%,4,57.1%,7,100.0%,
2 or More/Excluding Black (NEW),,89,45.6%,106,54.4%,195,100.0%,
International,,58,98.3%,1,1.7%,59,100.0%,
Unknown or Not Reported,,6,46.2%,7,53.8%,13,100.0%,
TAMU Age Categories,<18,24,44.4%,30,55.6%,54,100.0%,
18-21,,"3,766",45.9%,"4,430",54.1%,"8,196",100.0%,
22-25,,2,50.0%,2,50.0%,4,100.0%,
College,Agriculture,276,42.6%,372,57.4%,648,100.0%,
Architecture,,66,35.3%,121,64.7%,187,100.0%,
Business Admin,,220,30.0%,513,70.0%,733,100.0%,
Education,,217,40.5%,319,59.5%,536,100.0%,
Engineering,,585,35.8%,"1,049",64.2%,"1,634",100.0%,
Geosciences,,50,41.0%,72,59.0%,122,100.0%,
Liberal Arts,,338,48.2%,363,51.8%,701,100.0%,
Science,,257,32.2%,540,67.8%,797,100.0%,
Veterinary Medicine,,206,31.6%,446,68.4%,652,100.0%,
General Studies,,"1,577",70.3%,667,29.7%,"2,244",100.0%,
Enrollment Status,1st Time in College,"3,792",45.9%,"4,462",54.1%,"8,254",100.0%,
Tuition Status,Resident Tuition,"3,345",44.9%,"4,109",55.1%,"7,454",100.0%,
Non-Resident Tuition,,139,100.0%,,,139,100.0%,
Tuition  Exemption/Waiver,,308,46.6%,353,53.4%,661,100.0%,
Residency Status,Texas Resident,"3,443",43.6%,"4,461",56.4%,"7,904",100.0%,
"Non-TX, US Resident",,290,100.0%,,,290,100.0%,
"Non-TX, Non-US Resident",,59,98.3%,1,1.7%,60,100.0%,
SCH Categories,< 6 SCH,583,99.7%,2,.3%,585,100.0%,
6-8 SCH,,22,75.9%,7,24.1%,29,100.0%,
9-11 SCH,,10,31.3%,22,68.8%,32,100.0%,
12-14 SCH,,"2,014",42.3%,"2,752",57.7%,"4,766",100.0%,
15-17 SCH,,"1,150",40.8%,"1,667",59.2%,"2,817",100.0%,
>17 SCH,,13,52.0%,12,48.0%,25,100.0%,
Ft/Pt: TAMU Status,Less Than Half Time,586,99.7%,2,.3%,588,100.0%,
Half-Time,,35,50.0%,35,50.0%,70,100.0%,
Full-Time,,"3,171",41.7%,"4,425",58.3%,"7,596",100.0%,
First Generation,No,"3,026",36.7%,"2,913",35.3%,"5,939",72.0%,
Unknown,,141,1.7%,110,1.3%,251,3.0%,
Yes,,625,7.6%,"1,439",17.4%,"2,064",25.0%,
"Prepared by DARS, 25 Jan 12",,,,,,,,
Page 186,,,,,,,,
