Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,746,775,"1,521",,4,4,43,65,108,31,49,80,220,228,448,1,2,3,26,22,48,5,21,26,2,4,6,"1,074","1,170","2,244",
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,4,,4,,,,1,1,2,,1,1,1,,1,,,,1,,1,,,,,1,1,7,3,10,
,18-21,742,774,"1,516",,4,4,42,64,106,31,48,79,219,226,445,1,2,3,25,22,47,5,21,26,2,3,5,"1,067","1,164","2,231",
,22-25,,1,1,,,,,,,,,,,2,2,,,,,,,,,,,,,,3,3,
,Freshman,719,755,"1,474",,4,4,40,63,103,31,48,79,215,218,433,1,2,3,24,21,45,5,21,26,2,4,6,"1,037","1,136","2,173",
,Sophomore,26,19,45,,,,3,2,5,,1,1,4,8,12,,,,2,1,3,,,,,,,35,31,66,
,Junior,1,1,2,,,,,,,,,,1,2,3,,,,,,,,,,,,,2,3,5,
,Resident Tuition,697,714,"1,411",,3,3,42,60,102,27,44,71,211,221,432,1,2,3,25,21,46,,,,2,4,6,"1,005","1,069","2,074",
,Non-Resident Tuition,18,8,26,,,,,2,2,,1,1,2,,2,,,,,,,4,17,21,,,,24,28,52,
,Tuition,31,53,84,,1,1,1,3,4,4,4,8,7,7,14,,,,1,1,2,1,4,5,,,,45,73,118,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,721,750,"1,471",,4,4,43,62,105,28,46,74,215,227,442,1,2,3,26,21,47,,,,2,4,6,"1,036","1,116","2,152",
,"Non-TX, US Resident",25,25,50,,,,,2,2,3,3,6,5,1,6,,,,,1,1,,,,,,,33,32,65,
,"Non-TX, Non-US",,,,,,,,1,1,,,,,,,,,,,,,5,21,26,,,,5,22,27,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,216,240,456,,1,1,2,4,6,2,5,7,48,46,94,1,,1,9,10,19,,,,1,,1,279,306,585,
,6-8 SCH,2,10,12,,,,,,,,,,2,1,3,,,,,1,1,,,,,,,4,12,16,
,9-11 SCH,1,1,2,,,,,,,,,,,3,3,,,,,,,,,,,,,1,4,5,
,12-14 SCH,395,369,764,,2,2,32,36,68,19,38,57,130,134,264,,2,2,9,7,16,,9,9,1,3,4,586,600,"1,186",
,15-17 SCH,132,155,287,,1,1,9,23,32,10,6,16,40,44,84,,,,8,4,12,4,11,15,,1,1,203,245,448,
,>17 SCH,,,,,,,,2,2,,,,,,,,,,,,,1,1,2,,,,1,3,4,
,Less Than Half Time,216,240,456,,1,1,2,4,6,2,5,7,48,46,94,1,,1,9,10,19,,,,1,,1,279,306,585,
,Half-Time,5,11,16,,,,,,,,,,2,4,6,,,,,1,1,2,1,3,,,,9,17,26,
,Full-Time,525,524,"1,049",,3,3,41,61,102,29,44,73,170,178,348,,2,2,17,11,28,3,20,23,1,4,5,786,847,"1,633",
,No,542,597,"1,139",,3,3,25,47,72,17,28,45,124,127,251,1,1,2,18,16,34,5,21,26,2,3,5,734,843,"1,577",
,Yes,204,178,382,,1,1,18,18,36,14,21,35,96,101,197,,1,1,8,6,14,,,,,1,1,340,327,667,
,No,600,640,"1,240",,4,4,22,37,59,17,23,40,94,105,199,1,1,2,18,14,32,,,,2,2,4,754,826,"1,580",
,Unknown,10,22,32,,,,3,1,4,1,4,5,11,6,17,,,,1,,1,5,21,26,,1,1,31,55,86,
,Yes,136,113,249,,,,18,27,45,13,22,35,115,117,232,,1,1,7,8,15,,,,,1,1,289,289,578,
,Off-campus,424,420,844,,4,4,24,35,59,14,21,35,101,110,211,1,1,2,21,11,32,3,17,20,2,1,3,590,620,"1,210",
,Dorm (On-campus),322,355,677,,,,19,30,49,17,28,45,119,118,237,,1,1,5,11,16,2,4,6,,3,3,484,550,"1,034",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
