Unknown or Not Reported,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,,,,,,
APMS,1,,1,,,2,,,,,,,,2,
BIOL,,,,,,,,,,,,,,,
BMCB,,,1,,,1,,,,,,,,1,
BOTN,,,,,,,,,,,,,,,
CHEM,1,,1,,,2,,1,1,1,1,,,4,
GENE,,,,,,,,,,,,,,,
MATH,,,,,,,1,2,3,,,,,3,
MBIO,,,,,,,,,,,,,,,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,,,,,,,,,,2,2,,,2,
STAT,,,,,,,3,4,7,,,,,7,
USSC,,,,,,,,,,,,,,,
ZOOL,,,,,,,,,,,,,,,
Subtotal,2,,3,,,5,4,7,11,3,3,,,19,
Veterinary Medicine     BIMS,1,1,,,,2,,,,,,,,2,
BIOT,,,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,7,7,7,
VTMI,,,,,,,,,,,,,,,
VTPH,,,,,,,,,,,,,,,
Subtotal,1,1,,,,2,,,,,,7,7,9,
General Studies             GEST,9,4,,,,13,,,,,,,,13,
TEAM,1,,,,,1,,,,,,,,1,
Subtotal,10,4,,,,14,,,,,,,,14,
