2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,11,25,10,19,,65,1,8,9,10,10,,,84,
Engineering,AERL,12,2,,,,14,,,,,,,,14,
,AERO,,3,1,6,,10,,2,2,,,,,12,
,BIOT,,,,,,,,,,,,,,,
,BMEL,4,4,,,,8,,,,,,,,8,
,BMEN,,4,1,4,,9,,1,1,,,,,10,
,CECL,1,2,,,,3,,,,,,,,3,
,CECN,,,1,1,,2,,,,,,,,2,
,CEEL,,1,,,,1,,,,,,,,1,
,CEEN,,3,1,1,,5,,,,,,,,5,
,CHEL,2,,1,,,3,,,,,,,,3,
,CHEN,,1,3,6,1,11,,2,2,,,,,13,
,CPSC,,,,1,,1,,2,2,1,1,,,4,
,CPSL,2,3,2,1,,8,,,,,,,,8,
,CVEL,5,,1,,,6,,,,,,,,6,
,CVEN,,1,3,3,,7,,,,1,1,,,8,
,ELEL,8,2,,1,,11,,,,,,,,11,
,ELEN,,1,2,5,,8,,3,3,1,1,,,12,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,4,,4,,,,,,,,4,
,ENTL,,1,1,,,2,,,,,,,,2,
,HLPH,,,,,,,,,,,,,,,
,IDIL,2,2,1,,,5,,,,,,,,5,
,IDIS,,,1,1,,2,,,,,,,,2,
,INEL,,1,,,,1,,,,,,,,1,
,INEN,,3,2,2,,7,,1,1,,,,,8,
,ITDE,,,,,,,,,,,,,,,
,MEEL,5,4,,,,9,,,,,,,,9,
,MEEN,,1,2,2,,5,,3,3,,,,,8,
,MSEN,,,,,,,,1,1,,,,,1,
,NUEL,2,1,,,,3,,,,,,,,3,
,NUEN,,,1,1,,2,,2,2,,,,,4,
,OCEL,1,1,1,,,3,,,,,,,,3,
