Demographic Summary for Blinn TEAM Students,,,,,,
(College Station Campus) Fall 2011,,,,,,
Fall 2011,,U1: Freshmen,U2: Sophomore,U3: Junior,Grand Total,
Headcount Total,,751,265,4,"1,020",
Gender,Female,355,116,3,474,
Male,,396,149,1,546,
Ethnicity,White Only (NEW),582,215,1,798,
American Indian Only (NEW),,1,,,1,
Asian Only (NEW),,9,9,,18,
Black Only + 2 or more/1 Black (NEW),,10,6,,16,
Hispanic or Latino of any Race (NEW),,124,27,3,154,
Native Hawaii Only (New),,1,1,,2,
2 or More/Excluding Black (NEW),,23,7,,30,
Unknown or Not Reported,,1,,,1,
TAMU Age Categories,<18,1,,,1,
18-21,,749,265,4,"1,018",
22-25,,1,,,1,
Enrollment Status,1st Time in College,588,8,1,597,
Continuing,,163,257,3,423,
Tuition Status,Resident Tuition,721,259,4,984,
Non-Resident  Tuition,,9,,,9,
Tuition  Exemption/Waiver,,21,6,,27,
Residency Status,Texas Resident,732,265,4,"1,001",
"Non-TX, US Resident",,18,,,18,
"Non-TX, Non-US Resident",,1,,,1,
SCH Categories,< 6 SCH,723,228,4,955,
6-8 SCH,,28,37,,65,
Ft/Pt: TAMU Status,Less Than Half Time,723,228,4,955,
Half-Time,,28,37,,65,
First Generation,No,568,201,2,771,
Unknown,,16,7,,23,
Yes,,167,57,2,226,
"Prepared by DARS, 25 Jan 12",,,,,,
Page 192,,,,,,
