Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,,,334,100.0%,,,,,334,100.0%,
Female,,,,155,46.4%,,,,,155,46.4%,
Male,,,,179,53.6%,,,,,179,53.6%,
Ethnicity,White Only (NEW),,,225,67.4%,,,,,225,67.4%,
American Indian Only (NEW),,,,4,1.2%,,,,,4,1.2%,
Asian Only (NEW),,,,11,3.3%,,,,,11,3.3%,
Black Only + 2 or more/1 Black,,,,16,4.8%,,,,,16,4.8%,
Hispanic or Latino of any Race,,,,42,12.6%,,,,,42,12.6%,
Native Hawaii Only (New),,,,1,.3%,,,,,1,.3%,
2 or More/Excluding Black (NEW),,,,6,1.8%,,,,,6,1.8%,
International,,,,26,7.8%,,,,,26,7.8%,
Unknown or Not Reported,,,,3,.9%,,,,,3,.9%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,,,10,3.0%,,,,,10,3.0%,
22-25,,,,171,51.2%,,,,,171,51.2%,
26-30,,,,80,24.0%,,,,,80,24.0%,
31-39,,,,45,13.5%,,,,,45,13.5%,
40+,,,,28,8.4%,,,,,28,8.4%,
Enrollment Status,1st Time in College,,,,,,,,,,,
1st Time PB,,,,58,17.4%,,,,,58,17.4%,
1st Time Graduate,,,,135,40.4%,,,,,135,40.4%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,,,,,,,,,,,
Readmitted,,,,,,,,,,,,
Continuing,,,,141,42.2%,,,,,141,42.2%,
Tuition Status,Resident Tuition,,,201,60.2%,,,,,201,60.2%,
Non-Resident  Tuition,,,,3,.9%,,,,,3,.9%,
Tuition Exemption/Waiver,,,,130,38.9%,,,,,130,38.9%,
Residency Status,Texas Resident,,,234,70.1%,,,,,234,70.1%,
"Non-TX, US Resident",,,,74,22.2%,,,,,74,22.2%,
"Non-TX, Non-US Resident",,,,26,7.8%,,,,,26,7.8%,
SCH Categories,< 6 SCH,,,35,10.5%,,,,,35,10.5%,
6-8 SCH,,,,57,17.1%,,,,,57,17.1%,
9-11 SCH,,,,31,9.3%,,,,,31,9.3%,
12-14 SCH,,,,197,59.0%,,,,,197,59.0%,
15-17 SCH,,,,13,3.9%,,,,,13,3.9%,
>17 SCH,,,,1,.3%,,,,,1,.3%,
Ft/Pt: TAMU Status,Less Than Half Time,,,34,10.2%,,,,,34,10.2%,
Half-Time,,,,57,17.1%,,,,,57,17.1%,
Full-Time,,,,243,72.8%,,,,,243,72.8%,
Top 10% Texas High,No,,,325,97.3%,,,,,325,97.3%,
School,Yes,,,9,2.7%,,,,,9,2.7%,
First Generation,No,,,225,67.4%,,,,,225,67.4%,
Unknown,,,,33,9.9%,,,,,33,9.9%,
Yes,,,,76,22.8%,,,,,76,22.8%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 8,,,,,,,,,,,,
