Fall 2011,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,Interna,tional,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Liberal Arts,AMST,1,1,,,,,1,,,,,,,,,,,,2,1,3
,ANTH,141,85,,,4,4,8,2,41,12,,,9,1,5,10,,,208,114,322
,CLSS,9,5,,,,,,1,1,1,,,,,,,,,10,7,17
,COMM,477,118,2,,14,3,19,12,79,29,,,18,4,7,5,2,,618,171,789
,ECON,68,304,,1,9,30,7,9,14,56,1,1,1,9,61,82,,3,161,495,656
,ENGL,404,115,5,1,13,4,20,2,96,36,1,1,9,5,15,11,1,1,564,176,740
,FREN,11,1,,,,,1,,1,,,,,,,,,,13,1,14
,GERM,3,4,,,,,,,,,,,,,,1,,,3,5,8
,HISP,7,5,,,,,,,14,7,,,,,,8,,,21,20,41
,HIST,200,405,1,,3,2,7,14,45,62,,,10,5,3,2,2,3,271,493,764
,INTS,252,185,1,1,7,12,11,10,109,55,1,2,9,4,5,3,,1,395,273,668
,MODL,2,,,,,,,,2,,,,,,,,,,4,,4
,MUSC,8,10,,,2,,,2,2,5,,,,,,,,,12,17,29
,NRSC,1,3,,,1,,,1,1,1,,,,,1,2,,,4,7,11
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1
,PERF,4,3,,,,,1,,1,1,,,,,1,,,,7,4,11
,PHIL,19,52,,2,3,3,2,1,4,9,,,,2,,,,3,28,72,100
,POLS,163,340,1,2,9,19,20,21,59,83,1,,5,8,8,4,1,4,267,481,748
,PSYC,702,239,2,3,48,29,57,13,217,81,1,,12,1,12,10,4,,"1,055",376,"1,431"
,RUSS,3,9,,,,,,1,2,2,,,,,,,,,5,12,17
,SOCI,208,108,5,1,16,3,41,22,89,51,1,,3,3,8,4,1,1,372,193,565
,SPAN,29,4,,,,,,,25,15,,,,,,,1,,55,19,74
,TCMS,80,47,,,5,3,7,1,12,9,,,3,1,,1,,1,107,63,170
,THAR,25,6,,,1,,1,1,6,3,,,1,,,,,,34,10,44
,USLA,4,3,,,,,2,,2,,,,,,,,,,8,3,11
,WGST,6,,,,,,1,,7,,,,,,,,,,14,,14
,Subtotal,"2,828","2,052",17,11,135,112,206,113,829,518,6,4,80,43,126,143,12,17,"4,239","3,013","7,252"
"Science
Veterinary Medicine
General Studies
Other - Special Populations",APHY,,5,1,,,,,,1,2,,,1,,,1,,,3,8,11
,APMS,37,58,,,6,7,,5,5,17,,,4,,,4,1,1,53,92,145
,BIOL,424,316,3,4,87,89,30,18,175,115,2,,18,13,29,11,,,768,566,"1,334"
,BMCB,23,32,,,5,7,1,,8,19,,,3,2,,2,,1,40,63,103
,BOTN,1,,,,,,,,,1,,,,,,,,,1,1,2
,CHEM,126,148,,2,13,26,6,9,40,48,,,6,3,54,95,3,1,248,332,580
,GENE,,1,,,,,,,,,,,,,,,,,,1,1
,MATH,114,107,,1,8,6,6,1,23,40,1,,6,7,29,55,,3,187,220,407
,MBIO,28,21,,,,9,3,2,7,13,,,3,1,8,1,,,49,47,96
,MEPS,,,,,1,,,,,,,,,,,,,,1,,1
,MSEN,,,,,,,,,,,,,,,,1,,,,1,1
,PHYS,31,145,,,1,10,1,3,6,32,,,1,6,8,79,,2,48,277,325
,STAT,28,58,,1,13,8,2,3,2,4,,,1,2,26,29,4,3,76,108,184
,USSC,7,6,,,,,1,1,1,1,,,,,,,,,9,8,17
,ZOOL,51,27,,,1,,3,,14,1,,,,2,1,,,,70,30,100
,Subtotal,870,924,4,8,135,162,53,42,282,293,3,,43,36,155,278,8,11,"1,553","1,754","3,307"
,BIMS,824,313,5,2,102,73,46,12,244,95,1,1,25,18,18,17,,2,"1,265",533,"1,798"
,BIOT,,,,,1,,,,1,,,,,,1,1,,,3,1,4
,EPID,,,,,,1,,,,,,,,,,,,,,1,1
,GENE,2,3,,,1,,,,,,,,,,,,,,3,3,6
,LAMD,2,,,,,,,,,,,,,,,,,,2,,2
,STJR,4,,,,,,,,,,,,,,4,1,,,8,1,9
,TOXI,7,1,,,,,2,,,,,,,,2,3,,,11,4,15
,USVM,,,,,,1,,,,,,,,,,,,,,1,1
,VPAT,11,2,,,,,,,,2,,,,,1,2,,,12,6,18
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1
,VTMD,340,103,1,,15,1,3,2,31,16,,,2,,,,5,2,397,124,521
,VTMI,6,1,,,,,2,,1,,,,,,2,2,,,11,3,14
,VTPH,,,,,1,,,,,,,,,,,,,,1,,1
,Subtotal,"1,197",423,6,2,120,76,53,14,277,113,1,1,27,18,28,26,5,4,"1,714",677,"2,391"
,GEST,"1,264","1,482",4,8,88,149,96,115,390,463,1,3,39,36,10,39,6,7,"1,898","2,302","4,200"
,TEAM,367,431,,1,9,9,6,10,75,79,1,1,15,15,,,1,,474,546,"1,020"
,Subtotal,"1,631","1,913",4,9,97,158,102,125,465,542,2,4,54,51,10,39,7,7,"2,372","2,848","5,220"
,MARB,,,,,,,,,,,,,,,,1,,,,1,1
,MARM,1,,,,,,,,,,,,,,,,,,1,,1
,MAST,,1,,,,,,,,,,,,,,,,,,1,1
,MDSC,2,1,,,,,,,1,,,,,,,3,3,,6,4,10
,PHLT,5,4,,,1,,2,,1,,,,,,3,1,3,1,15,6,21
,REEP,,,,,,,,,,,,,,,45,48,,,45,48,93
