Fall 2011,,White Only (NEW),,,American Indian Only,,(NEW),Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,263,178,441,3,,3,11,23,34,17,11,28,85,39,124,,,,10,3,13,1,2,3,2,,2,392,256,648,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,1,,1,,,,1,,1,,,,,1,1,1,,1,,,,3,1,4,
,18-21,263,178,441,3,,3,10,23,33,17,11,28,84,39,123,,,,10,2,12,,2,2,2,,2,389,255,644,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,246,163,409,3,,3,9,19,28,14,11,25,71,36,107,,,,10,3,13,1,2,3,2,,2,356,234,590,
,Sophomore,15,14,29,,,,2,4,6,2,,2,12,3,15,,,,,,,,,,,,,31,21,52,
,Junior,2,1,3,,,,,,,1,,1,2,,2,,,,,,,,,,,,,5,1,6,
,Resident Tuition,231,150,381,3,,3,11,22,33,14,9,23,81,37,118,,,,9,2,11,1,,1,2,,2,352,220,572,
,Non-Resident Tuition,5,,5,,,,,1,1,,,,,,,,,,,,,,2,2,,,,5,3,8,
,Tuition,27,28,55,,,,,,,3,2,5,4,2,6,,,,1,1,2,,,,,,,35,33,68,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,251,165,416,3,,3,11,22,33,17,9,26,84,39,123,,,,9,2,11,1,,1,2,,2,378,237,615,
,"Non-TX, US Resident",12,13,25,,,,,1,1,,2,2,1,,1,,,,1,1,2,,,,,,,14,17,31,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,145,104,249,3,,3,6,14,20,13,11,24,60,24,84,,,,3,1,4,,1,1,2,,2,232,155,387,
,15-17 SCH,115,73,188,,,,5,8,13,3,,3,25,15,40,,,,7,2,9,1,1,2,,,,156,99,255,
,>17 SCH,1,,1,,,,,1,1,1,,1,,,,,,,,,,,,,,,,2,1,3,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Full-Time,262,177,439,3,,3,11,23,34,17,11,28,85,39,124,,,,10,3,13,1,2,3,2,,2,391,255,646,
,No,110,87,197,2,,2,5,13,18,3,7,10,24,13,37,,,,5,3,8,1,2,3,1,,1,151,125,276,
,Yes,153,91,244,1,,1,6,10,16,14,4,18,61,26,87,,,,5,,5,,,,1,,1,241,131,372,
,No,204,134,338,2,,2,5,17,22,3,3,6,34,19,53,,,,7,3,10,1,,1,1,,1,257,176,433,
,Unknown,5,4,9,,,,,1,1,3,1,4,2,3,5,,,,,,,,2,2,1,,1,11,11,22,
,Yes,54,40,94,1,,1,6,5,11,11,7,18,49,17,66,,,,3,,3,,,,,,,124,69,193,
,Off-campus,100,62,162,1,,1,5,10,15,6,8,14,25,7,32,,,,,2,2,,1,1,,,,137,90,227,
,Dorm (On-campus),163,116,279,2,,2,6,13,19,11,3,14,60,32,92,,,,10,1,11,1,1,2,2,,2,255,166,421,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
