Headcount by Major by Level by Entry Status (College Station Campus),,,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitte d,Continuing,1st Time Profession al,Readmitte d,Continuing,,
Science,APHY,,,,,,1,,,1,,9,,,,11,
,APMS,28,1,,116,,,,,,,,,,,145,
,BIOL,427,28,6,798,,7,,16,7,,45,,,,"1,334",
,BMCB,23,7,,73,,,,,,,,,,,103,
,BOTN,,,,,,,,,,,2,,,,2,
,CHEM,126,9,1,162,,38,,47,28,,169,,,,580,
,GENE,,,,,,,,,,,1,,,,1,
,MATH,89,14,5,141,3,34,,37,12,,72,,,,407,
,MBIO,20,6,,54,,2,,3,,,11,,,,96,
,MEPS,,,,,,,,,,,1,,,,1,
,MSEN,,,,,,,,,,,1,,,,1,
,PHYS,64,4,1,81,1,29,,39,20,,86,,,,325,
,STAT,,,,,29,41,,67,6,,41,,,,184,
,USSC,,,,17,,,,,,,,,,,17,
,ZOOL,20,5,1,62,,,,1,,,11,,,,100,
,Subtotal,797,74,14,"1,504",33,152,,210,74,,449,,,,"3,307",
Veterinary  Medicine,BIMS,652,7,3,"1,037",2,38,,22,7,,30,,,,"1,798",
,BIOT,,,,,,,,4,,,,,,,4,
,EPID,,,,,,,,1,,,,,,,1,
,GENE,,,,,,,,1,,,5,,,,6,
,LAMD,,,,,,1,,1,,,,,,,2,
,STJR,,,,,,3,,6,,,,,,,9,
,TOXI,,,,,,4,,2,1,,8,,,,15,
,USVM,,,,1,,,,,,,,,,,1,
,VPAT,,,,,,3,,3,1,,11,,,,18,
,VPHY,,,,,,,,,,,1,,,,1,
,VTMD,,,,,,,,,,,,135,1,385,521,
,VTMI,,,,,,3,,,2,,9,,,,14,
,VTPH,,,,,,,,1,,,,,,,1,
,Subtotal,652,7,3,"1,038",2,52,,41,11,,64,135,1,385,"2,391",
General Studies,GEST,"1,647",148,78,"2,327",,,,,,,,,,,"4,200",
,TEAM,597,,,423,,,,,,,,,,,"1,020",
,Subtotal,"2,244",148,78,"2,750",,,,,,,,,,,"5,220",
"Other - Special Populations
University",MARB,,,,,,,,,,,1,,,,1,
,MARM,,,,,,,,1,,,,,,,1,
,MAST,,,,1,,,,,,,,,,,1,
,MDSC,,,,,10,,,,,,,,,,10,
,PHLT,,,,,15,,,6,,,,,,,21,
,REEP,,,,69,,,,24,,,,,,,93,
,Subtotal,,,,70,25,,,31,,,1,,,,127,
,Total,"8,254","1,776",461,"29,376",164,"2,257",14,"3,095",604,11,"3,328",135,1,385,"49,861",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,
