Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"6,419",100.0%,330,100.0%,503,100.0%,,,"7,252",100.0%,
Female,,"3,817",59.5%,164,49.7%,258,51.3%,,,"4,239",58.5%,
Male,,"2,602",40.5%,166,50.3%,245,48.7%,,,"3,013",41.5%,
Ethnicity,White Only (NEW),"4,466",69.6%,171,51.8%,243,48.3%,,,"4,880",67.3%,
American Indian Only (NEW),,26,.4%,,,2,.4%,,,28,.4%,
Asian Only (NEW),,226,3.5%,6,1.8%,15,3.0%,,,247,3.4%,
Black Only + 2 or more/1 Black,,277,4.3%,13,3.9%,29,5.8%,,,319,4.4%,
Hispanic or Latino of any Race,,"1,232",19.2%,33,10.0%,82,16.3%,,,"1,347",18.6%,
Native Hawaii Only (New),,10,.2%,,,,,,,10,.1%,
2 or More/Excluding Black (NEW),,113,1.8%,5,1.5%,5,1.0%,,,123,1.7%,
International,,49,.8%,98,29.7%,122,24.3%,,,269,3.7%,
Unknown or Not Reported,,20,.3%,4,1.2%,5,1.0%,,,29,.4%,
TAMU Age Categories,<18,5,.1%,,,,,,,5,.1%,
18-21,,"4,672",72.8%,6,1.8%,,,,,"4,678",64.5%,
22-25,,"1,557",24.3%,177,53.6%,50,9.9%,,,"1,784",24.6%,
26-30,,109,1.7%,100,30.3%,219,43.5%,,,428,5.9%,
31-39,,45,.7%,37,11.2%,170,33.8%,,,252,3.5%,
40+,,31,.5%,10,3.0%,64,12.7%,,,105,1.4%,
Enrollment Status,1st Time in College,701,10.9%,,,,,,,701,9.7%,
1st Time PB,,,,4,1.2%,,,,,4,.1%,
1st Time Graduate,,,,169,51.2%,89,17.7%,,,258,3.6%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,473,7.4%,,,,,,,473,6.5%,
Readmitted,,90,1.4%,,,2,.4%,,,92,1.3%,
Continuing,,"5,155",80.3%,157,47.6%,412,81.9%,,,"5,724",78.9%,
Tuition Status,Resident Tuition,"5,970",93.0%,100,30.3%,198,39.4%,,,"6,268",86.4%,
Non-Resident Tuition,,120,1.9%,95,28.8%,77,15.3%,,,292,4.0%,
Tuition Exemption/Waiver,,329,5.1%,135,40.9%,228,45.3%,,,692,9.5%,
Residency Status,Texas Resident,"6,179",96.3%,109,33.0%,213,42.3%,,,"6,501",89.6%,
"Non-TX, US Resident",,191,3.0%,122,37.0%,167,33.2%,,,480,6.6%,
"Non-TX, Non-US Resident",,49,.8%,99,30.0%,123,24.5%,,,271,3.7%,
SCH Categories,< 6 SCH,74,1.2%,40,12.1%,123,24.5%,,,237,3.3%,
6-8 SCH,,144,2.2%,10,3.0%,12,2.4%,,,166,2.3%,
9-11 SCH,,283,4.4%,214,64.8%,359,71.4%,,,856,11.8%,
12-14 SCH,,"3,125",48.7%,65,19.7%,9,1.8%,,,"3,199",44.1%,
15-17 SCH,,"2,612",40.7%,1,.3%,,,,,"2,613",36.0%,
>17 SCH,,181,2.8%,,,,,,,181,2.5%,
Ft/Pt: TAMU Status,Less Than Half Time,65,1.0%,36,10.9%,106,21.1%,,,207,2.9%,
Half-Time,,431,6.7%,14,4.2%,28,5.6%,,,473,6.5%,
Full-Time,,"5,923",92.3%,280,84.8%,369,73.4%,,,"6,572",90.6%,
Top 10% Texas High,No,"4,254",66.3%,322,97.6%,492,97.8%,,,"5,068",69.9%,
School,Yes,"2,165",33.7%,8,2.4%,11,2.2%,,,"2,184",30.1%,
First Generation,No,"4,417",68.8%,172,52.1%,281,55.9%,,,"4,870",67.2%,
Unknown,,194,3.0%,85,25.8%,83,16.5%,,,362,5.0%,
Yes,,"1,808",28.2%,73,22.1%,139,27.6%,,,"2,020",27.9%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 10,,,,,,,,,,,,
