Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,62,58,120,1,1,2,3,5,2,3,5,9,6,15,,,,,1,1,,1,1,,,,76,72,148,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,61,57,118,1,1,2,3,5,2,3,5,9,6,15,,,,,1,1,,1,1,,,,75,71,146,
,22-25,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,26-30,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,8,7,15,,,,,,1,,1,1,,1,,,,,,,,,,,,,10,7,17,
,Sophomore,54,51,105,1,1,2,3,5,1,3,4,8,6,14,,,,,1,1,,1,1,,,,66,65,131,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,59,58,117,1,1,2,3,5,1,3,4,9,6,15,,,,,1,1,,,,,,,72,71,143,
,Non-Resident  Tuition,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,
,Tuition,2,,2,,,,,,1,,1,,,,,,,,,,,,,,,,3,,3,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,60,58,118,1,1,2,3,5,2,3,5,9,6,15,,,,,1,1,,,,,,,74,71,145,
,"Non-TX, US Resident",2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,2,,2,
,6-8 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,9-11 SCH,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,12-14 SCH,35,29,64,1,1,,2,2,1,,1,6,3,9,,,,,,,,,,,,,43,34,77,
,15-17 SCH,23,28,51,,,2,1,3,1,3,4,2,3,5,,,,,1,1,,1,1,,,,28,37,65,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,2,,2,
,Half-Time,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,
,Full-Time,57,57,114,1,1,2,3,5,2,3,5,8,6,14,,,,,1,1,,1,1,,,,70,71,141,
,No,53,49,102,1,1,2,2,4,2,3,5,8,5,13,,,,,1,1,,1,1,,,,66,61,127,
,Yes,9,9,18,,,,1,1,,,,1,1,2,,,,,,,,,,,,,10,11,21,
,No,42,44,86,1,1,,2,2,,1,1,6,5,11,,,,,,,,,,,,,49,52,101,
,Unknown,,,,,,,,,1,,1,1,,1,,,,,,,,1,1,,,,2,1,3,
,Yes,20,14,34,,,2,1,3,1,2,3,2,1,3,,,,,1,1,,,,,,,25,19,44,
,Off-campus,62,57,119,1,1,2,3,5,2,2,4,9,6,15,,,,,,,,1,1,,,,76,69,145,
,Dorm  (On-campus),,1,1,,,,,,,1,1,,,,,,,,1,1,,,,,,,,3,3,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
