Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,685,100.0%,193,100.0%,166,100.0%,,,"1,044",100.0%,
Female,,258,37.7%,79,40.9%,72,43.4%,,,409,39.2%,
Male,,427,62.3%,114,59.1%,94,56.6%,,,635,60.8%,
Ethnicity,White Only (NEW),510,74.5%,125,64.8%,62,37.3%,,,697,66.8%,
American Indian Only (NEW),,2,.3%,1,.5%,,,,,3,.3%,
Asian Only (NEW),,17,2.5%,4,2.1%,5,3.0%,,,26,2.5%,
Black Only + 2 or more/1 Black,,18,2.6%,5,2.6%,1,.6%,,,24,2.3%,
Hispanic or Latino of any Race,,106,15.5%,16,8.3%,2,1.2%,,,124,11.9%,
Native Hawaii Only (New),,1,.1%,,,,,,,1,.1%,
2 or More/Excluding Black (NEW),,10,1.5%,1,.5%,2,1.2%,,,13,1.2%,
International,,21,3.1%,39,20.2%,93,56.0%,,,153,14.7%,
Unknown or Not Reported,,,,2,1.0%,1,.6%,,,3,.3%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,460,67.2%,1,.5%,,,,,461,44.2%,
22-25,,189,27.6%,109,56.5%,20,12.0%,,,318,30.5%,
26-30,,29,4.2%,59,30.6%,71,42.8%,,,159,15.2%,
31-39,,4,.6%,19,9.8%,57,34.3%,,,80,7.7%,
40+,,3,.4%,5,2.6%,18,10.8%,,,26,2.5%,
Enrollment Status,1st Time in College,122,17.8%,,,,,,,122,11.7%,
1st Time PB,,,,1,.5%,,,,,1,.1%,
1st Time Graduate,,,,67,34.7%,24,14.5%,,,91,8.7%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,30,4.4%,,,,,,,30,2.9%,
Readmitted,,16,2.3%,,,,,,,16,1.5%,
Continuing,,517,75.5%,125,64.8%,142,85.5%,,,784,75.1%,
Tuition Status,Resident Tuition,615,89.8%,97,50.3%,35,21.1%,,,747,71.6%,
Non-Resident  Tuition,,32,4.7%,27,14.0%,33,19.9%,,,92,8.8%,
Tuition Exemption/Waiver,,38,5.5%,69,35.8%,98,59.0%,,,205,19.6%,
Residency Status,Texas Resident,639,93.3%,101,52.3%,38,22.9%,,,778,74.5%,
"Non-TX, US Resident",,25,3.6%,52,26.9%,35,21.1%,,,112,10.7%,
"Non-TX, Non-US Resident",,21,3.1%,40,20.7%,93,56.0%,,,154,14.8%,
SCH Categories,< 6 SCH,13,1.9%,29,15.0%,26,15.7%,,,68,6.5%,
6-8 SCH,,17,2.5%,4,2.1%,1,.6%,,,22,2.1%,
9-11 SCH,,22,3.2%,151,78.2%,138,83.1%,,,311,29.8%,
12-14 SCH,,313,45.7%,8,4.1%,1,.6%,,,322,30.8%,
15-17 SCH,,296,43.2%,1,.5%,,,,,297,28.4%,
>17 SCH,,24,3.5%,,,,,,,24,2.3%,
Ft/Pt: TAMU Status,Less Than Half Time,13,1.9%,25,13.0%,23,13.9%,,,61,5.8%,
Half-Time,,37,5.4%,8,4.1%,4,2.4%,,,49,4.7%,
Full-Time,,635,92.7%,160,82.9%,139,83.7%,,,934,89.5%,
Top 10% Texas High,No,430,62.8%,189,97.9%,161,97.0%,,,780,74.7%,
School,Yes,255,37.2%,4,2.1%,5,3.0%,,,264,25.3%,
First Generation,No,458,66.9%,121,62.7%,71,42.8%,,,650,62.3%,
Unknown,,39,5.7%,18,9.3%,30,18.1%,,,87,8.3%,
Yes,,188,27.4%,54,28.0%,65,39.2%,,,307,29.4%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 9,,,,,,,,,,,,
