Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,64,59,123,,,,7,2,9,2,2,4,22,27,49,,,,1,1,2,,,,,,,96,91,187,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,18-21,63,58,121,,,,7,2,9,2,2,4,22,27,49,,,,1,1,2,,,,,,,95,90,185,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,61,51,112,,,,7,2,9,2,2,4,21,26,47,,,,1,1,2,,,,,,,92,82,174,
,Sophomore,3,8,11,,,,,,,,,,1,1,2,,,,,,,,,,,,,4,9,13,
,Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,60,56,116,,,,7,2,9,2,2,4,22,25,47,,,,1,1,2,,,,,,,92,86,178,
,Non-Resident Tuition,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,Tuition,3,2,5,,,,,,,,,,,2,2,,,,,,,,,,,,,3,4,7,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,62,56,118,,,,7,2,9,2,2,4,22,27,49,,,,1,1,2,,,,,,,94,88,182,
,"Non-TX, US Resident",2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,44,32,76,,,,5,1,6,2,1,3,11,16,27,,,,,,,,,,,,,62,50,112,
,15-17 SCH,20,26,46,,,,2,1,3,,1,1,11,11,22,,,,1,1,2,,,,,,,34,40,74,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Full-Time,64,58,122,,,,7,2,9,2,2,4,22,27,49,,,,1,1,2,,,,,,,96,90,186,
,No,24,29,53,,,,3,2,5,1,,1,3,3,6,,,,,1,1,,,,,,,31,35,66,
,Yes,40,30,70,,,,4,,4,1,2,3,19,24,43,,,,1,,1,,,,,,,65,56,121,
,No,56,48,104,,,,5,1,6,,1,1,7,4,11,,,,1,1,2,,,,,,,69,55,124,
,Unknown,,2,2,,,,,,,1,,1,,,,,,,,,,,,,,,,1,2,3,
,Yes,8,9,17,,,,2,1,3,1,1,2,15,23,38,,,,,,,,,,,,,26,34,60,
,Off-campus,16,17,33,,,,1,,1,1,,1,3,8,11,,,,,,,,,,,,,21,25,46,
,Dorm (On-campus),48,42,90,,,,6,2,8,1,2,3,19,19,38,,,,1,1,2,,,,,,,75,66,141,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
