Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,251,204,455,1,1,2,43,40,83,15,8,23,108,98,206,1,,1,13,9,22,1,2,3,1,1,2,434,363,797,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,2,,2,,,,1,1,2,2,,2,,1,1,,,,,,,,1,1,,,,5,3,8,
,18-21,248,204,452,1,1,2,42,39,81,13,8,21,108,97,205,1,,1,13,9,22,1,1,2,1,1,2,428,360,788,
,22-25,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Freshman,222,182,404,1,1,2,38,37,75,14,8,22,96,92,188,1,,1,12,8,20,1,2,3,1,1,2,386,331,717,
,Sophomore,26,20,46,,,,3,2,5,,,,10,4,14,,,,1,1,2,,,,,,,40,27,67,
,Junior,3,2,5,,,,2,1,3,1,,1,2,2,4,,,,,,,,,,,,,8,5,13,
,Resident Tuition,210,171,381,1,1,2,41,37,78,15,7,22,99,90,189,1,,1,11,9,20,,,,,1,1,378,316,694,
,Non-Resident Tuition,4,2,6,,,,,,,,,,,,,,,,,,,1,2,3,,,,5,4,9,
,Tuition,37,31,68,,,,2,3,5,,1,1,9,8,17,,,,2,,2,,,,1,,1,51,43,94,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,240,187,427,1,1,2,43,39,82,15,7,22,107,97,204,1,,1,13,9,22,,,,1,1,2,421,341,762,
,"Non-TX, US Resident",11,17,28,,,,,1,1,,1,1,1,1,2,,,,,,,,,,,,,12,20,32,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,1,2,3,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,12-14 SCH,96,87,183,,1,1,21,16,37,8,2,10,50,37,87,1,,1,3,4,7,,2,2,,,,179,149,328,
,15-17 SCH,153,116,269,1,,1,22,23,45,7,6,13,58,59,117,,,,9,4,13,1,,1,1,1,2,252,209,461,
,>17 SCH,2,,2,,,,,1,1,,,,,2,2,,,,1,1,2,,,,,,,3,4,7,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,
,Full-Time,249,203,452,1,1,2,43,40,83,15,8,23,108,98,206,1,,1,13,9,22,1,2,3,1,1,2,432,362,794,
,No,60,97,157,,1,1,14,23,37,1,2,3,18,31,49,,,,3,4,7,1,2,3,,,,97,160,257,
,Yes,191,107,298,1,,1,29,17,46,14,6,20,90,67,157,1,,1,10,5,15,,,,1,1,2,337,203,540,
,No,200,163,363,1,,1,20,27,47,7,2,9,44,45,89,1,,1,10,9,19,,,,1,,1,284,246,530,
,Unknown,2,11,13,,,,,3,3,2,,2,4,4,8,,,,1,,1,1,2,3,,1,1,10,21,31,
,Yes,49,30,79,,1,1,23,10,33,6,6,12,60,49,109,,,,2,,2,,,,,,,140,96,236,
,Off-campus,82,65,147,,1,1,11,17,28,4,2,6,24,21,45,,,,5,,5,1,2,3,,1,1,127,109,236,
,Dorm (On-campus),169,139,308,1,,1,32,23,55,11,6,17,84,77,161,1,,1,8,9,17,,,,1,,1,307,254,561,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
