Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,700",100.0%,95,100.0%,75,100.0%,521,100.0%,"2,391",100.0%,
Female,,"1,208",71.1%,66,69.5%,43,57.3%,397,76.2%,"1,714",71.7%,
Male,,492,28.9%,29,30.5%,32,42.7%,124,23.8%,677,28.3%,
Ethnicity,White Only (NEW),"1,090",64.1%,51,53.7%,36,48.0%,443,85.0%,"1,620",67.8%,
American Indian Only (NEW),,6,.4%,1,1.1%,,,1,.2%,8,.3%,
Asian Only (NEW),,167,9.8%,11,11.6%,2,2.7%,16,3.1%,196,8.2%,
Black Only + 2 or more/1 Black,,55,3.2%,5,5.3%,2,2.7%,5,1.0%,67,2.8%,
Hispanic or Latino of any Race,,332,19.5%,9,9.5%,2,2.7%,47,9.0%,390,16.3%,
Native Hawaii Only (New),,2,.1%,,,,,,,2,.1%,
2 or More/Excluding Black (NEW),,42,2.5%,1,1.1%,,,2,.4%,45,1.9%,
International,,4,.2%,17,17.9%,33,44.0%,,,54,2.3%,
Unknown or Not Reported,,2,.1%,,,,,7,1.3%,9,.4%,
TAMU Age Categories,<18,8,.5%,,,,,,,8,.3%,
18-21,,"1,559",91.7%,,,,,12,2.3%,"1,571",65.7%,
22-25,,131,7.7%,58,61.1%,8,10.7%,342,65.6%,539,22.5%,
26-30,,1,.1%,24,25.3%,32,42.7%,141,27.1%,198,8.3%,
31-39,,,,12,12.6%,29,38.7%,21,4.0%,62,2.6%,
40+,,1,.1%,1,1.1%,6,8.0%,5,1.0%,13,.5%,
Enrollment Status,1st Time in College,652,38.4%,,,,,,,652,27.3%,
1st Time PB,,,,2,2.1%,,,,,2,.1%,
1st Time Graduate,,,,52,54.7%,11,14.7%,,,63,2.6%,
1st Time Professional,,,,,,,,135,25.9%,135,5.6%,
1st Time Transfer,,7,.4%,,,,,,,7,.3%,
Readmitted,,3,.2%,,,,,1,.2%,4,.2%,
Continuing,,"1,038",61.1%,41,43.2%,64,85.3%,385,73.9%,"1,528",63.9%,
Tuition Status,Resident Tuition,"1,589",93.5%,63,66.3%,27,36.0%,484,92.9%,"2,163",90.5%,
Non-Resident  Tuition,,16,.9%,6,6.3%,2,2.7%,5,1.0%,29,1.2%,
Tuition  Exemption/Waiver,,95,5.6%,26,27.4%,46,61.3%,32,6.1%,199,8.3%,
Residency Status,Texas Resident,"1,665",97.9%,67,70.5%,29,38.7%,492,94.4%,"2,253",94.2%,
"Non-TX, US Resident",,31,1.8%,11,11.6%,13,17.3%,29,5.6%,84,3.5%,
"Non-TX, Non-US Resident",,4,.2%,17,17.9%,33,44.0%,,,54,2.3%,
SCH Categories,< 6 SCH,10,.6%,17,17.9%,10,13.3%,1,.2%,38,1.6%,
6-8 SCH,,18,1.1%,6,6.3%,4,5.3%,,,28,1.2%,
9-11 SCH,,26,1.5%,50,52.6%,56,74.7%,,,132,5.5%,
12-14 SCH,,"1,021",60.1%,21,22.1%,3,4.0%,,,"1,045",43.7%,
15-17 SCH,,612,36.0%,1,1.1%,2,2.7%,1,.2%,616,25.8%,
>17 SCH,,13,.8%,,,,,519,99.6%,532,22.3%,
Ft/Pt: TAMU Status,Less Than Half Time,10,.6%,10,10.5%,7,9.3%,1,.2%,28,1.2%,
Half-Time,,46,2.7%,13,13.7%,7,9.3%,,,66,2.8%,
Full-Time,,"1,644",96.7%,72,75.8%,61,81.3%,520,99.8%,"2,297",96.1%,
Top 10% Texas High,No,578,34.0%,93,97.9%,69,92.0%,469,90.0%,"1,209",50.6%,
School,Yes,"1,122",66.0%,2,2.1%,6,8.0%,52,10.0%,"1,182",49.4%,
First Generation,No,"1,207",71.0%,63,66.3%,48,64.0%,80,15.4%,"1,398",58.5%,
Unknown,,26,1.5%,13,13.7%,9,12.0%,415,79.7%,463,19.4%,
Yes,,467,27.5%,19,20.0%,18,24.0%,26,5.0%,530,22.2%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 12,,,,,,,,,,,,
