Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,,,,,,,,,,,,,,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,,,,,,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,1,,,1,,,,,,,,1,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,,,,,,,,,,,,,,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,1,,,1,,1,1,,,,,2,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,2,1,6,1,,10,,1,1,5,5,,,16,
Architecture,ARCH,,,,,,,,1,1,,,,,1,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,COSL,,1,,,,1,,,,,,,,1,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,1,1,,,,,1,
,URSC,,,,,,,,,,,,,,,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,,,,,2,2,,,,,2,
,Subtotal,,1,,,,1,,4,4,,,,,5,
