Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,20,25,45,,,2,2,4,1,,1,4,15,19,,,,1,,1,,3,3,1,,1,29,45,74,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,18-21,17,18,35,,,1,1,2,,,,3,14,17,,,,1,,1,,2,2,,,,22,35,57,
,22-25,2,3,5,,,1,1,2,,,,,1,1,,,,,,,,1,1,1,,1,4,6,10,
,26-30,1,3,4,,,,,,,,,1,,1,,,,,,,,,,,,,2,3,5,
,31-39,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,2,2,
,Sophomore,9,9,18,,,1,2,3,1,,1,,5,5,,,,,,,,,,,,,11,16,27,
,Junior,8,11,19,,,,,,,,,4,8,12,,,,1,,1,,3,3,1,,1,14,22,36,
,Senior,2,2,4,,,1,,1,,,,,1,1,,,,,,,,,,,,,3,3,6,
,PB,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,
,Resident Tuition,17,23,40,,,2,2,4,1,,1,4,15,19,,,,1,,1,,,,1,,1,26,40,66,
,Non-Resident  Tuition,,1,1,,,,,,,,,,,,,,,,,,,2,2,,,,,3,3,
,Tuition,3,1,4,,,,,,,,,,,,,,,,,,,1,1,,,,3,2,5,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,19,24,43,,,2,2,4,1,,1,4,15,19,,,,1,,1,,,,1,,1,28,41,69,
,"Non-TX, US Resident",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,3,3,,,,,3,3,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,9,16,25,,,1,1,2,,,,3,9,12,,,,,,,,2,2,,,,13,28,41,
,15-17 SCH,9,9,18,,,1,1,2,1,,1,1,6,7,,,,1,,1,,1,1,1,,1,14,17,31,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,Full-Time,18,25,43,,,2,2,4,1,,1,4,15,19,,,,1,,1,,3,3,1,,1,27,45,72,
,No,14,19,33,,,1,1,2,1,,1,3,12,15,,,,,,,,3,3,1,,1,20,35,55,
,Yes,6,6,12,,,1,1,2,,,,1,3,4,,,,1,,1,,,,,,,9,10,19,
,No,14,19,33,,,2,1,3,,,,1,8,9,,,,1,,1,,,,1,,1,19,28,47,
,Unknown,,,,,,,,,,,,,1,1,,,,,,,,3,3,,,,,4,4,
,Yes,6,6,12,,,,1,1,1,,1,3,6,9,,,,,,,,,,,,,10,13,23,
,Off-campus,20,25,45,,,2,2,4,1,,1,2,14,16,,,,1,,1,,3,3,1,,1,27,44,71,
,Dorm  (On-campus),,,,,,,,,,,,2,1,3,,,,,,,,,,,,,2,1,3,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
