Residency Status by Tuition Status by College,,,,,,,,,,,
(College Station Campus) Fall 2011,,,,,,,,,,,
Fall 2011,,,Tuition Status,,,,,,,,
,,,Resident Tuition,,Non-Resident  Tuition,,Tuition  Exemption/Waiver,,Total,,
college,Agriculture,Texas Resident,"5,875",100.0%,11,4.1%,195,23.2%,"6,081",87.1%,
"Non-TX, US Resident",,,,,123,45.7%,320,38.1%,443,6.3%,
"Non-TX, Non-US Resident",,,,,135,50.2%,325,38.7%,460,6.6%,
Architecture,,Texas Resident,"1,506",100.0%,2,1.7%,52,22.3%,"1,560",84.1%,
"Non-TX, US Resident",,,,,30,25.9%,45,19.3%,75,4.0%,
"Non-TX, Non-US Resident",,,,,84,72.4%,136,58.4%,220,11.9%,
Business Admin,,Texas Resident,"4,494",100.0%,4,2.5%,135,37.7%,"4,633",92.4%,
"Non-TX, US Resident",,,,,46,28.4%,105,29.3%,151,3.0%,
"Non-TX, Non-US Resident",,,,,112,69.1%,118,33.0%,230,4.6%,
Education,,Texas Resident,"4,670",100.0%,13,8.4%,124,37.7%,"4,807",93.3%,
"Non-TX, US Resident",,,,,64,41.3%,102,31.0%,166,3.2%,
"Non-TX, Non-US Resident",,,,,78,50.3%,103,31.3%,181,3.5%,
Engineering,,Texas Resident,"8,144",100.0%,16,1.5%,261,13.3%,"8,421",75.3%,
"Non-TX, US Resident",,,,,163,15.1%,451,23.1%,614,5.5%,
"Non-TX, Non-US Resident",,,,,900,83.4%,"1,244",63.6%,"2,144",19.2%,
G. Bush School of Govt,,Texas Resident,201,100.0%,2,66.7%,31,23.8%,234,70.1%,
"Non-TX, US Resident",,,,,1,33.3%,73,56.2%,74,22.2%,
"Non-TX, Non-US Resident",,,,,,,26,20.0%,26,7.8%,
Geosciences,,Texas Resident,747,100.0%,2,2.2%,29,14.1%,778,74.5%,
"Non-TX, US Resident",,,,,25,27.2%,87,42.4%,112,10.7%,
"Non-TX, Non-US Resident",,,,,65,70.7%,89,43.4%,154,14.8%,
Liberal Arts,,Texas Resident,"6,268",100.0%,14,4.8%,219,31.6%,"6,501",89.6%,
"Non-TX, US Resident",,,,,143,49.0%,337,48.7%,480,6.6%,
"Non-TX, Non-US Resident",,,,,135,46.2%,136,19.7%,271,3.7%,
Science,,Texas Resident,"2,464",100.0%,3,3.0%,115,15.5%,"2,582",78.1%,
"Non-TX, US Resident",,,,,33,32.7%,258,34.8%,291,8.8%,
"Non-TX, Non-US Resident",,,,,65,64.4%,369,49.7%,434,13.1%,
Veterinary Medicine,,Texas Resident,"2,163",100.0%,2,6.9%,88,44.2%,"2,253",94.2%,
"Non-TX, US Resident",,,,,21,72.4%,63,31.7%,84,3.5%,
"Non-TX, Non-US Resident",,,,,6,20.7%,48,24.1%,54,2.3%,
General Studies,,Texas Resident,"4,876",100.0%,2,1.9%,148,62.7%,"5,026",96.3%,
"Non-TX, US Resident",,,,,68,63.0%,76,32.2%,144,2.8%,
"Non-TX, Non-US Resident",,,,,38,35.2%,12,5.1%,50,1.0%,
Other - Special,,Texas Resident,18,100.0%,,,1,14.3%,19,15.0%,
Populations,,"Non-TX, US Resident",,,4,3.9%,3,42.9%,7,5.5%,
"Non-TX, Non-US Resident",,,,,98,96.1%,3,42.9%,101,79.5%,
Total,,Texas Resident,"41,426",100.0%,71,2.8%,"1,398",23.6%,"42,895",86.0%,
"Non-TX, US Resident",,,,,721,28.7%,"1,920",32.4%,"2,641",5.3%,
"Non-TX, Non-US Resident",,,,,"1,716",68.4%,"2,609",44.0%,"4,325",8.7%,
"Prepared by DARS, 1/9/2012",,,,,,,,,,,
Page 17,,,,,,,,,,,
