Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,,,,,,
APMS,,,2,3,,5,,,,,,,,5,
BIOL,17,10,8,12,,47,,,,1,1,,,48,
BMCB,,1,,,,1,,,,,,,,1,
BOTN,,,,,,,,,,,,,,,
CHEM,4,,,4,,8,,1,1,6,6,,,15,
GENE,,,,,,,,,,,,,,,
MATH,4,,1,1,,6,,,,1,1,,,7,
MBIO,2,2,,1,,5,,,,,,,,5,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,,,,1,,1,,1,1,2,2,,,4,
STAT,,,,,,,3,2,5,,,,,5,
USSC,,,1,1,,2,,,,,,,,2,
ZOOL,,,2,1,,3,,,,,,,,3,
Subtotal,27,13,14,24,,78,3,4,7,10,10,,,95,
Veterinary Medicine     BIMS,25,11,13,6,,55,1,2,3,,,,,58,
BIOT,,,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,2,2,,,,,2,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,5,5,5,
VTMI,,,,,,,,,,2,2,,,2,
VTPH,,,,,,,,,,,,,,,
Subtotal,25,11,13,6,,55,1,4,5,2,2,5,5,67,
General Studies             GEST,119,84,8,,,211,,,,,,,,211,
TEAM,10,6,,,,16,,,,,,,,16,
Subtotal,129,90,8,,,227,,,,,,,,227,
