2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,1,1,,,1,
APMS,1,1,1,1,,4,,,,,,,,4,
BIOL,9,5,3,14,,31,,,,,,,,31,
BMCB,,1,3,1,,5,,,,,,,,5,
BOTN,,,,,,,,,,,,,,,
CHEM,4,3,,1,,8,,,,1,1,,,9,
GENE,,,,,,,,,,,,,,,
MATH,4,2,1,5,,12,,,,1,1,,,13,
MBIO,,,,3,,3,,1,1,,,,,4,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,1,,1,1,,3,,1,1,3,3,,,7,
STAT,,,,,,,,3,3,,,,,3,
USSC,,,,,,,,,,,,,,,
ZOOL,1,,,1,,2,,,,,,,,2,
Subtotal,20,12,9,27,,68,,5,5,6,6,,,79,
Veterinary Medicine     BIMS,23,10,6,3,,42,,1,1,,,,,43,
BIOT,,,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,2,2,2,
VTMI,,,,,,,,,,,,,,,
VTPH,,,,,,,,,,,,,,,
Subtotal,23,10,6,3,,42,,1,1,,,2,2,45,
General Studies             GEST,42,32,1,,,75,,,,,,,,75,
TEAM,23,7,,,,30,,,,,,,,30,
Subtotal,65,39,1,,,105,,,,,,,,105,
