Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,"2,831","2,795","5,626",11,12,23,219,240,459,145,133,278,841,753,"1,594",3,4,7,101,94,195,19,40,59,6,7,13,"4,176","4,078","8,254",
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,18,5,23,,,,5,3,8,6,1,7,5,3,8,,,,2,2,4,1,2,3,,1,1,37,17,54,
,18-21,"2,812","2,789","5,601",11,12,23,214,237,451,139,132,271,836,748,"1,584",3,4,7,99,92,191,18,38,56,6,6,12,"4,138","4,058","8,196",
,22-25,1,1,2,,,,,,,,,,,2,2,,,,,,,,,,,,,1,3,4,
,Freshman,"2,640","2,605","5,245",10,12,22,197,221,418,128,132,260,763,697,"1,460",3,4,7,95,87,182,18,40,58,6,7,13,"3,860","3,805","7,665",
,Sophomore,178,179,357,1,,1,17,18,35,10,1,11,66,43,109,,,,6,7,13,1,,1,,,,279,248,527,
,Junior,13,11,24,,,,5,1,6,7,,7,12,13,25,,,,,,,,,,,,,37,25,62,
,Resident Tuition,"2,551","2,509","5,060",11,11,22,209,224,433,128,120,248,789,705,"1,494",3,4,7,92,85,177,1,,1,5,7,12,"3,789","3,665","7,454",
,Non-Resident Tuition,47,28,75,,,,1,5,6,1,1,2,4,2,6,,,,1,1,2,15,33,48,,,,69,70,139,
,Tuition,233,258,491,,1,1,9,11,20,16,12,28,48,46,94,,,,8,8,16,3,7,10,1,,1,318,343,661,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,"2,737","2,653","5,390",11,12,23,217,231,448,140,125,265,831,739,"1,570",3,4,7,98,89,187,1,,1,6,7,13,"4,044","3,860","7,904",
,"Non-TX, US Resident",94,142,236,,,,2,8,10,5,8,13,10,14,24,,,,3,4,7,,,,,,,114,176,290,
,"Non-TX, Non-US",,,,,,,,1,1,,,,,,,,,,,1,1,18,40,58,,,,18,42,60,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,216,240,456,,1,1,2,4,6,2,5,7,48,46,94,1,,1,9,10,19,,,,1,,1,279,306,585,
,6-8 SCH,8,17,25,,,,,,,,,,2,1,3,,,,,1,1,,,,,,,10,19,29,
,9-11 SCH,6,15,21,,,,,4,4,,,,1,6,7,,,,,,,,,,,,,7,25,32,
,12-14 SCH,"1,547","1,657","3,204",7,9,16,131,132,263,99,94,193,503,444,947,1,3,4,45,57,102,7,22,29,4,4,8,"2,344","2,422","4,766",
,15-17 SCH,"1,050",866,"1,916",4,2,6,84,95,179,43,34,77,284,253,537,1,1,2,45,25,70,9,17,26,1,3,4,"1,521","1,296","2,817",
,>17 SCH,4,,4,,,,2,5,7,1,,1,3,3,6,,,,2,1,3,3,1,4,,,,15,10,25,
,Less Than Half Time,216,240,456,,1,1,2,4,6,2,5,7,48,46,94,1,,1,9,10,19,3,,3,1,,1,282,306,588,
,Half-Time,20,32,52,,,,,4,4,,,,3,7,10,,,,,1,1,2,1,3,,,,25,45,70,
,Full-Time,"2,595","2,523","5,118",11,11,22,217,232,449,143,128,271,790,700,"1,490",2,4,6,92,83,175,14,39,53,5,7,12,"3,869","3,727","7,596",
,No,"1,251","1,488","2,739",6,7,13,96,138,234,41,59,100,265,285,550,1,2,3,41,48,89,18,40,58,3,3,6,"1,722","2,070","3,792",
,Yes,"1,580","1,307","2,887",5,5,10,123,102,225,104,74,178,576,468,"1,044",2,2,4,60,46,106,1,,1,3,4,7,"2,454","2,008","4,462",
,No,"2,297","2,347","4,644",9,10,19,119,158,277,57,53,110,360,362,722,3,2,5,76,76,152,1,,1,5,4,9,"2,927","3,012","5,939",
,Unknown,39,62,101,,1,1,6,9,15,11,8,19,29,20,49,,,,3,2,5,18,40,58,1,2,3,107,144,251,
,Yes,495,386,881,2,1,3,94,73,167,77,72,149,452,371,823,,2,2,22,16,38,,,,,1,1,"1,142",922,"2,064",
,Off-campus,"1,085",944,"2,029",2,8,10,66,96,162,46,53,99,254,241,495,1,2,3,35,25,60,12,32,44,2,2,4,"1,503","1,403","2,906",
,Dorm (On-campus),"1,746","1,851","3,597",9,4,13,153,144,297,99,80,179,587,512,"1,099",2,2,4,66,69,135,7,8,15,4,5,9,"2,673","2,675","5,348",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
