Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,1,1,4,4,,,7,
Engineering,AERL,,,1,,,1,,,,,,,,1,
,AERO,,,1,,,1,,,,1,1,,,2,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,,
,BMEN,,1,,,,1,,,,1,1,,,2,
,CECL,,,,,,,,,,,,,,,
,CECN,,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,,,,,,,,,,,,
,CHEL,,,1,,,1,,,,,,,,1,
,CHEN,,1,2,,,3,,,,,,,,3,
,CPSC,,,,,,,,2,2,1,1,,,3,
,CPSL,1,,,,,1,,,,,,,,1,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,2,2,,,,,3,
,ELEL,1,,,,,1,,,,,,,,1,
,ELEN,,,,1,,1,,,,,,,,1,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,,
,INEL,,1,1,,,2,,,,,,,,2,
,INEN,,,,2,,2,,2,2,,,,,4,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,1,,,1,,,,,,,,1,
,MEEN,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,,1,,1,,1,1,,,,,2,
,OCEL,,,,,,,,,,,,,,,
