Native Hawaii Only (New),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,,,,,,
APMS,,,,,,,,,,,,,,,
BIOL,,,2,,,2,,,,,,,,2,
BMCB,,,,,,,,,,,,,,,
BOTN,,,,,,,,,,,,,,,
CHEM,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
MATH,1,,,,,1,,,,,,,,1,
MBIO,,,,,,,,,,,,,,,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,,,,,,,,,,,,,,,
STAT,,,,,,,,,,,,,,,
USSC,,,,,,,,,,,,,,,
ZOOL,,,,,,,,,,,,,,,
Subtotal,1,,2,,,3,,,,,,,,3,
Veterinary Medicine     BIMS,1,,1,,,2,,,,,,,,2,
BIOT,,,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,,,,
VTMI,,,,,,,,,,,,,,,
VTPH,,,,,,,,,,,,,,,
Subtotal,1,,1,,,2,,,,,,,,2,
General Studies             GEST,2,2,,,,4,,,,,,,,4,
TEAM,1,1,,,,2,,,,,,,,2,
Subtotal,3,3,,,,6,,,,,,,,6,
