Demographic Summary by Classification,,,,,,,
Professional Students (College Station Campus) Fall 2011,,,,,,,
Fall 2011,,V1: 1st Year Veterinary,V2: 2nd Year Veterinary,V3: 3rd Year Veterinary,V4: 4th Year Veterinary,Grand Total,
Head Count,Total,135,131,126,129,521,
Gender,Female,107,97,100,93,397,
Male,,28,34,26,36,124,
Ethnicity,White Only (NEW),112,118,100,113,443,
American Indian Only (NEW),,1,,,,1,
Asian Only (NEW),,7,2,2,5,16,
Black Only + 2 or more/1 Black (NEW),,2,,2,1,5,
Hispanic or Latino of any Race (NEW),,10,7,20,10,47,
2 or More/Excluding Black (NEW),,1,,1,,2,
Unknown or Not Reported,,2,4,1,,7,
TAMU Age Categories,18-21,11,1,,,12,
22-25,,96,103,83,60,342,
26-30,,25,19,36,61,141,
31-39,,3,6,7,5,21,
40+,,,2,,3,5,
College,Veterinary  Medicine,135,131,126,129,521,
Enrollment Status,1st Time Professional,134,1,,,135,
Readmitted,,,1,,,1,
Continuing,,1,129,126,129,385,
Tuition Status,Resident Tuition,129,119,116,120,484,
Non-Resident Tuition,,,1,3,1,5,
Tuition  Exemption/Waiver,,6,11,7,8,32,
Residency Status,Texas Resident,131,123,118,120,492,
"Non-TX, US Resident",,4,8,8,9,29,
SCH Categories,< 6 SCH,,,1,,1,
15-17 SCH,,,,,1,1,
>17 SCH,,135,131,125,128,519,
Ft/Pt: TAMU Status,Less Than Half Time,,,1,,1,
Full-Time,,135,131,125,129,520,
"Prepared by DARS, 09 Jan 12",,,,,,,
Page 16,,,,,,,
