Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"3,886",100.0%,627,100.0%,641,100.0%,,,"5,154",100.0%,
Female,,"3,001",77.2%,456,72.7%,419,65.4%,,,"3,876",75.2%,
Male,,885,22.8%,171,27.3%,222,34.6%,,,"1,278",24.8%,
Ethnicity,White Only (NEW),"3,020",77.7%,385,61.4%,281,43.8%,,,"3,686",71.5%,
American Indian Only (NEW),,9,.2%,1,.2%,3,.5%,,,13,.3%,
Asian Only (NEW),,74,1.9%,19,3.0%,21,3.3%,,,114,2.2%,
Black Only + 2 or more/1 Black,,123,3.2%,49,7.8%,113,17.6%,,,285,5.5%,
Hispanic or Latino of any Race,,580,14.9%,89,14.2%,113,17.6%,,,782,15.2%,
Native Hawaii Only (New),,2,.1%,,,,,,,2,.0%,
2 or More/Excluding Black (NEW),,65,1.7%,9,1.4%,10,1.6%,,,84,1.6%,
International,,11,.3%,74,11.8%,96,15.0%,,,181,3.5%,
Unknown or Not Reported,,2,.1%,1,.2%,4,.6%,,,7,.1%,
TAMU Age Categories,<18,3,.1%,,,,,,,3,.1%,
18-21,,"2,818",72.5%,13,2.1%,,,,,"2,831",54.9%,
22-25,,996,25.6%,331,52.8%,29,4.5%,,,"1,356",26.3%,
26-30,,37,1.0%,128,20.4%,150,23.4%,,,315,6.1%,
31-39,,17,.4%,93,14.8%,221,34.5%,,,331,6.4%,
40+,,15,.4%,62,9.9%,241,37.6%,,,318,6.2%,
Enrollment Status,1st Time in College,536,13.8%,,,,,,,536,10.4%,
1st Time PB,,,,12,1.9%,,,,,12,.2%,
1st Time Graduate,,,,280,44.7%,80,12.5%,,,360,7.0%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,214,5.5%,,,,,,,214,4.2%,
Readmitted,,43,1.1%,6,1.0%,5,.8%,,,54,1.0%,
Continuing,,"3,093",79.6%,329,52.5%,556,86.7%,,,"3,978",77.2%,
Tuition Status,Resident Tuition,"3,709",95.4%,482,76.9%,479,74.7%,,,"4,670",90.6%,
Non-Resident Tuition,,45,1.2%,78,12.4%,32,5.0%,,,155,3.0%,
Tuition  Exemption/Waiver,,132,3.4%,67,10.7%,130,20.3%,,,329,6.4%,
Residency Status,Texas Resident,"3,812",98.1%,498,79.4%,497,77.5%,,,"4,807",93.3%,
"Non-TX, US Resident",,63,1.6%,55,8.8%,48,7.5%,,,166,3.2%,
"Non-TX, Non-US Resident",,11,.3%,74,11.8%,96,15.0%,,,181,3.5%,
SCH Categories,< 6 SCH,29,.7%,81,12.9%,245,38.2%,,,355,6.9%,
6-8 SCH,,197,5.1%,220,35.1%,118,18.4%,,,535,10.4%,
9-11 SCH,,147,3.8%,235,37.5%,250,39.0%,,,632,12.3%,
12-14 SCH,,"1,969",50.7%,85,13.6%,26,4.1%,,,"2,080",40.4%,
15-17 SCH,,"1,473",37.9%,5,.8%,2,.3%,,,"1,480",28.7%,
>17 SCH,,71,1.8%,1,.2%,,,,,72,1.4%,
Ft/Pt: TAMU Status,Less Than Half Time,27,.7%,70,11.2%,192,30.0%,,,289,5.6%,
Half-Time,,198,5.1%,230,36.7%,165,25.7%,,,593,11.5%,
Full-Time,,"3,661",94.2%,327,52.2%,284,44.3%,,,"4,272",82.9%,
Top 10% Texas High,No,"2,301",59.2%,612,97.6%,593,92.5%,,,"3,506",68.0%,
School,Yes,"1,585",40.8%,15,2.4%,48,7.5%,,,"1,648",32.0%,
First Generation,No,"2,782",71.6%,370,59.0%,274,42.7%,,,"3,426",66.5%,
Unknown,,71,1.8%,51,8.1%,159,24.8%,,,281,5.5%,
Yes,,"1,033",26.6%,206,32.9%,208,32.4%,,,"1,447",28.1%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 6,,,,,,,,,,,,
