Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,389",100.0%,395,100.0%,523,100.0%,,,"3,307",100.0%,
Female,,"1,228",51.4%,148,37.5%,177,33.8%,,,"1,553",47.0%,
Male,,"1,161",48.6%,247,62.5%,346,66.2%,,,"1,754",53.0%,
Ethnicity,White Only (NEW),"1,415",59.2%,202,51.1%,177,33.8%,,,"1,794",54.2%,
American Indian Only (NEW),,9,.4%,1,.3%,2,.4%,,,12,.4%,
Asian Only (NEW),,254,10.6%,33,8.4%,10,1.9%,,,297,9.0%,
Black Only + 2 or more/1 Black,,78,3.3%,7,1.8%,10,1.9%,,,95,2.9%,
Hispanic or Latino of any Race,,533,22.3%,18,4.6%,24,4.6%,,,575,17.4%,
Native Hawaii Only (New),,3,.1%,,,,,,,3,.1%,
2 or More/Excluding Black (NEW),,68,2.8%,5,1.3%,6,1.1%,,,79,2.4%,
International,,24,1.0%,118,29.9%,291,55.6%,,,433,13.1%,
Unknown or Not Reported,,5,.2%,11,2.8%,3,.6%,,,19,.6%,
TAMU Age Categories,<18,9,.4%,,,,,,,9,.3%,
18-21,,"2,020",84.6%,4,1.0%,,,,,"2,024",61.2%,
22-25,,329,13.8%,197,49.9%,120,22.9%,,,646,19.5%,
26-30,,20,.8%,86,21.8%,280,53.5%,,,386,11.7%,
31-39,,9,.4%,51,12.9%,113,21.6%,,,173,5.2%,
40+,,2,.1%,57,14.4%,10,1.9%,,,69,2.1%,
Enrollment Status,1st Time in College,797,33.4%,,,,,,,797,24.1%,
1st Time PB,,,,33,8.4%,,,,,33,1.0%,
1st Time Graduate,,,,152,38.5%,74,14.1%,,,226,6.8%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,74,3.1%,,,,,,,74,2.2%,
Readmitted,,14,.6%,,,,,,,14,.4%,
Continuing,,"1,504",63.0%,210,53.2%,449,85.9%,,,"2,163",65.4%,
Tuition Status,Resident Tuition,"2,182",91.3%,181,45.8%,101,19.3%,,,"2,464",74.5%,
Non-Resident  Tuition,,41,1.7%,29,7.3%,31,5.9%,,,101,3.1%,
Tuition  Exemption/Waiver,,166,6.9%,185,46.8%,391,74.8%,,,742,22.4%,
Residency Status,Texas Resident,"2,279",95.4%,193,48.9%,110,21.0%,,,"2,582",78.1%,
"Non-TX, US Resident",,87,3.6%,84,21.3%,120,22.9%,,,291,8.8%,
"Non-TX, Non-US Resident",,23,1.0%,118,29.9%,293,56.0%,,,434,13.1%,
SCH Categories,< 6 SCH,10,.4%,104,26.3%,18,3.4%,,,132,4.0%,
6-8 SCH,,37,1.5%,40,10.1%,1,.2%,,,78,2.4%,
9-11 SCH,,64,2.7%,236,59.7%,497,95.0%,,,797,24.1%,
12-14 SCH,,"1,214",50.8%,11,2.8%,4,.8%,,,"1,229",37.2%,
15-17 SCH,,"1,023",42.8%,4,1.0%,3,.6%,,,"1,030",31.1%,
>17 SCH,,41,1.7%,,,,,,,41,1.2%,
Ft/Pt: TAMU Status,Less Than Half Time,9,.4%,94,23.8%,17,3.3%,,,120,3.6%,
Half-Time,,101,4.2%,51,12.9%,3,.6%,,,155,4.7%,
Full-Time,,"2,279",95.4%,250,63.3%,503,96.2%,,,"3,032",91.7%,
Top 10% Texas High,No,"1,039",43.5%,390,98.7%,508,97.1%,,,"1,937",58.6%,
School,Yes,"1,350",56.5%,5,1.3%,15,2.9%,,,"1,370",41.4%,
First Generation,No,"1,662",69.6%,192,48.6%,276,52.8%,,,"2,130",64.4%,
Unknown,,88,3.7%,113,28.6%,76,14.5%,,,277,8.4%,
Yes,,639,26.7%,90,22.8%,171,32.7%,,,900,27.2%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 11,,,,,,,,,,,,
