Fall 2011,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Science                                     BIOL,527,397,3,4,94,105,37,20,204,149,2,,24,18,38,14,,1,929,708,"1,637",
CHEM,126,148,,2,13,26,6,9,40,48,,,6,3,54,95,3,1,248,332,580,
CLSC,7,6,,,,,1,1,1,1,,,,,,,,,9,8,17,
MATH,151,165,,1,14,13,6,6,28,57,1,,10,7,29,59,1,4,240,312,552,
PHYS,31,150,1,,1,10,1,3,7,34,,,2,6,8,81,,2,51,286,337,
STAT,28,58,,1,13,8,2,3,2,4,,,1,2,26,29,4,3,76,108,184,
Subtotal,870,924,4,8,135,162,53,42,282,293,3,,43,36,155,278,8,11,"1,553","1,754","3,307",
Veterinary Medicine              CLVM,"1,144",405,6,2,114,72,48,13,274,108,1,1,27,18,7,3,5,4,"1,626",626,"2,252",
VIBS,11,6,,,3,2,2,,2,1,,,,,9,10,,,27,19,46,
VLCS,7,2,,,,,,,,,,,,,1,,,,8,2,10,
VSCS,,,,,,,,,,2,,,,,2,4,,,2,6,8,
VTPB,22,6,,,3,,2,1,1,2,,,,,5,4,,,33,13,46,
VTPP,13,4,,,,2,1,,,,,,,,4,5,,,18,11,29,
Subtotal,"1,197",423,6,2,120,76,53,14,277,113,1,1,27,18,28,26,5,4,"1,714",677,"2,391",
General Studies                      GEST,"1,631","1,913",4,9,97,158,102,125,465,542,2,4,54,51,10,39,7,7,"2,372","2,848","5,220",
Subtotal,"1,631","1,913",4,9,97,158,102,125,465,542,2,4,54,51,10,39,7,7,"2,372","2,848","5,220",
Other - Special Populations CLMD,2,1,,,,,,,1,,,,,,,3,3,,6,4,10,
GACD,,1,,,,,,,,,,,,,,,,,,1,1,
MARB,,,,,,,,,,,,,,,,1,,,,1,1,
MARS,1,,,,,,,,,,,,,,,,,,1,,1,
SABX,,,,,,,,,,,,,,,45,48,,,45,48,93,
SRPH,5,4,,,1,,2,,1,,,,,,3,1,3,1,15,6,21,
Subtotal,8,6,,,1,,2,,2,,,,,,48,53,6,1,67,60,127,
Total,"15,581","17,227",72,88,955,"1,290",877,840,"3,751","3,810",22,26,411,435,"1,435","2,875",62,104,"23,166","26,695","49,861",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,
Page 27,,,,,,,,,,,,,,,,,,,,,,
