Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           CLVM VIBS VLCS VSCS VTPB VTPP
Subtotal",,23,10,6,3,,42,,1,1,,,2,2,45,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,23,10,6,3,,42,,1,1,,,2,2,45,
"General Studies
Other - Special Populations
University",GEST,65,39,1,,,105,,,,,,,,105,
,"Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",65,39,1,,,105,,,,,,,,105,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,224,197,132,202,2,757,2,59,61,26,26,2,2,846,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
