Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,306,158,464,3,,3,17,7,24,23,8,31,107,47,154,,1,1,16,6,22,,1,1,1,,1,473,228,701,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,2,,2,,,,1,,1,,,,1,,1,,,,,,,,,,,,,4,,4,
,18-21,304,158,462,3,,3,16,7,23,23,8,31,106,47,153,,1,1,16,6,22,,1,1,1,,1,469,228,697,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,277,146,423,3,,3,16,5,21,19,8,27,90,43,133,,1,1,16,5,21,,1,1,1,,1,422,209,631,
,Sophomore,27,12,39,,,,1,2,3,2,,2,14,4,18,,,,,1,1,,,,,,,44,19,63,
,Junior,2,,2,,,,,,,2,,2,3,,3,,,,,,,,,,,,,7,,7,
,Resident Tuition,273,135,408,3,,3,16,6,22,22,8,30,105,42,147,,1,1,15,5,20,,,,1,,1,435,197,632,
,Non-Resident Tuition,4,,4,,,,,,,,,,,,,,,,,1,1,,,,,,,4,1,5,
,Tuition,29,23,52,,,,1,1,2,1,,1,2,5,7,,,,1,,1,,1,1,,,,34,30,64,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,296,143,439,3,,3,17,6,23,23,8,31,107,45,152,,1,1,15,5,20,,,,1,,1,462,208,670,
,"Non-TX, US Resident",10,15,25,,,,,1,1,,,,,2,2,,,,1,,1,,,,,,,11,18,29,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,2,2,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,138,86,224,1,,1,7,4,11,11,4,15,66,22,88,,,,5,3,8,,,,1,,1,229,119,348,
,15-17 SCH,168,71,239,2,,2,10,2,12,12,4,16,40,25,65,,1,1,10,3,13,,1,1,,,,242,107,349,
,>17 SCH,,,,,,,,1,1,,,,1,,1,,,,1,,1,,,,,,,2,1,3,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Full-Time,306,157,463,3,,3,17,7,24,23,8,31,107,47,154,,1,1,16,6,22,,1,1,1,,1,473,227,700,
,No,141,106,247,2,,2,7,6,13,9,4,13,33,20,53,,1,1,4,4,8,,1,1,,,,196,142,338,
,Yes,165,52,217,1,,1,10,1,11,14,4,18,74,27,101,,,,12,2,14,,,,1,,1,277,86,363,
,No,253,126,379,3,,3,12,4,16,11,2,13,48,27,75,,1,1,12,5,17,,,,1,,1,340,165,505,
,Unknown,7,6,13,,,,1,1,2,1,1,2,4,2,6,,,,1,1,2,,1,1,,,,14,12,26,
,Yes,46,26,72,,,,4,2,6,11,5,16,55,18,73,,,,3,,3,,,,,,,119,51,170,
,Off-campus,81,41,122,,,,6,4,10,7,3,10,22,14,36,,,,3,1,4,,1,1,,,,119,64,183,
,Dorm (On-campus),225,117,342,3,,3,11,3,14,16,5,21,85,33,118,,1,1,13,5,18,,,,1,,1,354,164,518,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
