Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,43,49,92,,,,1,2,3,,2,2,8,11,19,,,,,1,1,4,1,5,,,,56,66,122,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,43,49,92,,,,1,2,3,,2,2,8,11,19,,,,,1,1,4,1,5,,,,56,66,122,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,41,45,86,,,,1,1,2,,2,2,7,10,17,,,,,1,1,3,1,4,,,,52,60,112,
,Sophomore,1,4,5,,,,,1,1,,,,,1,1,,,,,,,1,,1,,,,2,6,8,
,Junior,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,2,
,Resident Tuition,39,41,80,,,,1,2,3,,2,2,8,11,19,,,,,1,1,,,,,,,48,57,105,
,Non-Resident Tuition,,2,2,,,,,,,,,,,,,,,,,,,4,1,5,,,,4,3,7,
,Tuition,4,6,10,,,,,,,,,,,,,,,,,,,,,,,,,4,6,10,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,41,46,87,,,,1,2,3,,2,2,8,11,19,,,,,1,1,,,,,,,50,62,112,
,"Non-TX, US Resident",2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,4,1,5,,,,4,1,5,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,7,19,26,,,,,1,1,,,,1,4,5,,,,,,,3,,3,,,,11,24,35,
,15-17 SCH,36,30,66,,,,1,1,2,,2,2,7,7,14,,,,,1,1,,1,1,,,,44,42,86,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,2,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,43,49,92,,,,1,2,3,,2,2,8,11,19,,,,,1,1,2,1,3,,,,54,66,120,
,No,15,20,35,,,,,,,,1,1,4,4,8,,,,,1,1,4,1,5,,,,23,27,50,
,Yes,28,29,57,,,,1,2,3,,1,1,4,7,11,,,,,,,,,,,,,33,39,72,
,No,29,44,73,,,,,1,1,,,,4,4,8,,,,,1,1,,,,,,,33,50,83,
,Unknown,2,,2,,,,,,,,,,,,,,,,,,,4,1,5,,,,6,1,7,
,Yes,12,5,17,,,,1,1,2,,2,2,4,7,11,,,,,,,,,,,,,17,15,32,
,Off-campus,5,18,23,,,,,1,1,,,,2,2,4,,,,,,,3,1,4,,,,10,22,32,
,Dorm (On-campus),38,31,69,,,,1,1,2,,2,2,6,9,15,,,,,1,1,1,,1,,,,46,44,90,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
