Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,51,15.9%,,,,,51,15.9%,
Gender,Female,,,21,10.5%,,,,,21,10.5%,
,Male,,,30,20.0%,,,,,30,20.0%,
Ethnicity,White,,,41,7.9%,,,,,41,7.9%,
,Black,,,2,100.0%,,,,,2,100.0%,
,Hispanic,,,5,25.0%,,,,,5,25.0%,
,Asian,,,,,,,,,,,
,American Indian,,,1,100.0%,,,,,1,100.0%,
,International,,,1,0.0%,,,,,1,0.0%,
,Unknown/Other,,,1,100.0%,,,,,1,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,100.0%,,,,,1,100.0%,
,22-25,,,28,7.7%,,,,,28,7.7%,
,26-30,,,14,27.3%,,,,,14,27.3%,
,31-39,,,5,400.0%,,,,,5,400.0%,
,40+,,,3,-50.0%,,,,,3,-50.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,2,0.0%,,,,,2,0.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,49,16.7%,,,,,49,16.7%,
Tuition Status,Resident Tuition,,,36,20.0%,,,,,36,20.0%,
,Non-Resident Tuition,,,2,100.0%,,,,,2,100.0%,
,Tuition Exemption/Waiver,,,13,0.0%,,,,,13,0.0%,
Residency,Texas Resident,,,39,30.0%,,,,,39,30.0%,
Status,"Non-TX, US Resident",,,11,-15.4%,,,,,11,-15.4%,
,"Non-TX, Non-US Resident",,,1,0.0%,,,,,1,0.0%,
SCH Categories,< 6 SCH,,,15,-11.8%,,,,,15,-11.8%,
,6-8 SCH,,,24,-4.0%,,,,,24,-4.0%,
,9-11 SCH,,,9,800.0%,,,,,9,800.0%,
,12-14 SCH,,,3,200.0%,,,,,3,200.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt: TAMU,Less Than Half Time,,,,,,,,,,,
Status,Half-Time,,,1,0.0%,,,,,1,0.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,50,16.3%,,,,,50,16.3%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
