Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2871,13.6%,141,-0.7%,183,5.8%,,,3195,12.4%,
Gender,Female,1742,12.2%,80,1.3%,70,-4.1%,,,1892,11.0%,
,Male,1129,15.9%,61,-3.2%,113,13.0%,,,1303,14.6%,
Ethnicity,White,2362,15.7%,99,1.0%,126,9.6%,,,2587,14.7%,
,Black,71,7.6%,1,-50.0%,3,50.0%,,,75,7.1%,
,Hispanic,294,3.5%,10,-16.7%,11,-21.4%,,,315,1.6%,
,Asian,71,2.9%,4,-20.0%,2,-66.7%,,,77,-3.8%,
,American Indian,13,-23.5%,0,-100.0%,1,0.0%,,,14,-26.3%,
,International,17,88.9%,26,23.8%,37,19.4%,,,80,31.1%,
,Unknown/Other,43,7.5%,1,-66.7%,3,-25.0%,,,47,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1341,8.8%,,,,,,,1341,8.8%,
,22-25,1422,19.5%,52,-17.5%,9,28.6%,,,1483,17.7%,
,26-30,72,7.5%,59,47.5%,66,-12.0%,,,197,8.2%,
,31-39,27,8.0%,24,-4.0%,76,26.7%,,,127,15.5%,
,40+,9,-25.0%,6,-57.1%,32,3.2%,,,47,-17.5%,
Enrollment,1st Time in College,5,-37.5%,,,,,,,5,-37.5%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,3,200.0%,1,-50.0%,,,4,33.3%,
,1st Time Transfer,42,-10.6%,,,,,,,42,-10.6%,
,Readmitted,32,-23.8%,,,,,,,32,-23.8%,
,Continuing,2792,14.9%,138,-2.1%,182,6.4%,,,3112,13.5%,
Tuition Status,Resident Tuition,2773,14.4%,65,-12.2%,81,14.1%,,,2919,13.7%,
,Non-Resident Tuition,57,3.6%,29,70.6%,24,0.0%,,,110,14.6%,
,Tuition Exemption/Waiver,41,-16.3%,47,-7.8%,78,0.0%,,,166,-6.7%,
Residency,Texas Resident,2778,14.5%,65,-12.2%,81,14.1%,,,2924,13.7%,
Status,"Non-TX, US Resident",75,-18.5%,50,6.4%,64,-9.9%,,,189,-10.0%,
,"Non-TX, Non-US Resident",18,100.0%,26,23.8%,38,22.6%,,,82,34.4%,
SCH Categories,< 6 SCH,614,18.1%,71,6.0%,94,14.6%,,,779,16.4%,
,6-8 SCH,1124,5.1%,61,-1.6%,81,-5.8%,,,1266,4.0%,
,9-11 SCH,560,12.7%,8,-27.3%,5,66.7%,,,573,12.1%,
,12-14 SCH,521,28.6%,1,-50.0%,2,0.0%,,,524,28.1%,
,15-17 SCH,44,57.1%,,,1,100.0%,,,45,60.7%,
,>17 SCH,8,0.0%,,,,,,,8,0.0%,
Ft/Pt: TAMU,Less Than Half Time,28,-42.9%,39,39.3%,42,16.7%,,,109,-3.5%,
Status,Half-Time,754,18.7%,9,12.5%,21,31.3%,,,784,19.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,2089,13.3%,93,-12.3%,120,-0.8%,,,2302,11.2%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
