Demographic Summary by Entry Status,,,,,,,,,,,
Summer 2002,,,,,,,,,,,
Summer 2002,,Undergraduate,,,,,Graduate,,,Professional,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Head Count,Total,210,7,292,124,13382,389,11,4620,124,
Gender,Female,101,2,132,53,6857,214,5,1824,83,
,Male,109,5,160,71,6525,175,6,2796,41,
Ethnicity,White,154,3,240,98,10803,298,9,2218,113,
,Black,10,1,6,3,398,8,,106,,
,Hispanic,37,,23,12,1177,18,1,226,3,
,Asian,5,1,5,8,485,12,,82,7,
,American Indian,1,1,1,1,70,,,11,,
,International,,1,11,,225,47,1,1924,,
,Unknown/Other,3,,6,2,224,6,,53,1,
TAMU Age,<18,4,,,,3,,,,,
Categories,18-21,206,,197,28,6271,6,,8,,
,22-25,,2,65,65,6552,262,,1271,45,
,26-30,,4,17,24,381,52,3,1566,54,
,31-39,,,11,6,144,50,2,1166,19,
,40+,,1,2,1,31,19,6,609,6,
College,Agriculture,1,1,93,28,2430,52,4,808,,
,Architecture,,1,7,5,523,22,,202,,
,Business Admin,11,1,12,18,1855,156,,311,,
,Education,7,,53,10,1476,87,5,844,,
,Engineering,8,2,65,15,2541,42,2,1251,,
,G. Bush School of Govt,,,,,,2,,49,,
,Geosciences,1,1,5,1,182,6,,190,,
,Liberal Arts,5,,42,32,2792,4,,320,,
,Science,2,,7,5,581,8,,501,,
,Veterinary Medicine,10,1,3,6,577,3,,117,124,
,General Studies,165,,5,4,409,,,,,
,Other - Special Populations,,,,,16,7,,27,,
Student Level,1,210,,169,18,1860,,,,,
,2,,7,123,106,11522,,,,,
,4,,,,,,342,7,2457,,
,5,,,,,,47,4,2163,,
,6,,,,,,,,,124,
Tuition Status,Resident Tuition,205,6,271,119,12703,313,9,1905,117,
,Non-Resident Tuition,5,1,20,4,386,21,1,632,2,
,Tuition Exemption/Waiver,,,1,1,293,55,1,2083,5,
Residency Status,Texas Resident,207,6,274,121,12721,314,9,1920,117,
,"Non-TX, US Resident",2,,5,3,425,28,1,766,7,
,"Non-TX, Non-US Resident",1,1,13,,236,47,1,1934,,
SCH Categories,< 6 SCH,26,1,137,36,3662,80,7,1414,4,
,6-8 SCH,28,4,109,48,5158,171,4,2784,120,
,9-11 SCH,5,2,28,17,2631,88,,308,,
,12-14 SCH,151,,18,22,1748,47,,100,,
,15-17 SCH,,,,1,156,3,,14,,
,>17 SCH,,,,,27,,,,,
Ft/Pt: TAMU,Less Than Half Time,1,,5,3,626,2,3,688,,
Status,Half-Time,22,1,160,44,3847,28,,276,4,
,Three-Quarter Time,,,1,,16,,,,,
,Full-Time,187,6,126,77,8893,359,8,3656,120,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,
