Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,16,-23.8%,34,78.9%,,,,,50,25.0%,
Gender,Female,11,-15.4%,18,28.6%,,,,,29,7.4%,
,Male,5,-37.5%,16,220.0%,,,,,21,61.5%,
Ethnicity,White,,,18,200.0%,,,,,18,200.0%,
,Black,,,3,50.0%,,,,,3,50.0%,
,Hispanic,,,2,-71.4%,,,,,2,-71.4%,
,Asian,,,3,100.0%,,,,,3,100.0%,
,American Indian,,,,,,,,,,,
,International,16,-23.8%,7,250.0%,,,,,23,0.0%,
,Unknown/Other,,,1,-50.0%,,,,,1,-50.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,14,-6.7%,,,,,,,14,-6.7%,
,22-25,2,-66.7%,22,266.7%,,,,,24,100.0%,
,26-30,,,10,66.7%,,,,,10,66.7%,
,31-39,,,1,-80.0%,,,,,1,-80.0%,
,40+,,,1,-50.0%,,,,,1,-50.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,7,100.0%,,,,,7,100.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,16,-23.8%,27,42.1%,,,,,43,7.5%,
Tuition Status,Resident Tuition,,,24,41.2%,,,,,24,41.2%,
,Non-Resident Tuition,16,-23.8%,5,100.0%,,,,,21,0.0%,
,Tuition Exemption/Waiver,,,5,150.0%,,,,,5,150.0%,
Residency,Texas Resident,,,24,41.2%,,,,,24,41.2%,
Status,"Non-TX, US Resident",,,3,100.0%,,,,,3,100.0%,
,"Non-TX, Non-US Resident",16,-23.8%,7,250.0%,,,,,23,0.0%,
SCH Categories,< 6 SCH,0,-100.0%,24,71.4%,,,,,24,60.0%,
,6-8 SCH,16,-15.8%,2,-50.0%,,,,,18,-21.7%,
,9-11 SCH,,,8,700.0%,,,,,8,700.0%,
,12-14 SCH,0,-100.0%,,,,,,,0,-100.0%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt: TAMU,Less Than Half Time,0,-100.0%,,,,,,,0,-100.0%,
Status,Half-Time,2,100.0%,12,100.0%,,,,,14,100.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,14,-30.0%,22,15.8%,,,,,36,-7.7%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
