Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2553,6.5%,458,1.3%,406,7.7%,,,3417,5.9%,
Gender,Female,1235,7.0%,238,1.3%,150,8.7%,,,1623,6.3%,
,Male,1318,6.0%,220,1.4%,256,7.1%,,,1794,5.6%,
Ethnicity,White,2160,5.5%,323,0.3%,195,1.6%,,,2678,4.5%,
,Black,83,16.9%,8,33.3%,2,100.0%,,,93,19.2%,
,Hispanic,176,4.1%,15,-25.0%,12,-7.7%,,,203,0.5%,
,Asian,37,19.4%,5,-54.5%,15,15.4%,,,57,3.6%,
,American Indian,20,66.7%,0,-100.0%,,,,,20,53.8%,
,International,34,6.3%,100,13.6%,178,16.3%,,,312,14.3%,
,Unknown/Other,43,26.5%,7,75.0%,4,-20.0%,,,54,25.6%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,958,2.4%,,,,,,,958,2.4%,
,22-25,1432,8.5%,244,-5.4%,34,17.2%,,,1710,6.4%,
,26-30,116,14.9%,136,16.2%,165,11.5%,,,417,13.9%,
,31-39,39,34.5%,51,-8.9%,150,2.7%,,,240,3.9%,
,40+,8,-27.3%,27,28.6%,57,5.6%,,,92,7.0%,
Enrollment,1st Time in College,1,-83.3%,,,,,,,1,-83.3%,
Status,1st Time PB,1,-80.0%,,,,,,,1,-80.0%,
,1st Time Graduate,,,45,28.6%,7,40.0%,,,52,30.0%,
,1st Time Transfer,93,-24.4%,,,,,,,93,-24.4%,
,Readmitted,28,-34.9%,2,-50.0%,2,100.0%,,,32,-31.9%,
,Continuing,2430,9.5%,411,-0.5%,397,6.7%,,,3238,7.8%,
Tuition Status,Resident Tuition,2421,6.7%,262,0.8%,125,7.8%,,,2808,6.2%,
,Non-Resident Tuition,85,11.8%,34,-19.0%,54,10.2%,,,173,3.6%,
,Tuition Exemption/Waiver,47,-11.3%,162,8.0%,227,7.1%,,,436,5.1%,
Residency,Texas Resident,2426,6.8%,263,1.2%,125,6.8%,,,2814,6.3%,
Status,"Non-TX, US Resident",91,-2.2%,95,-7.8%,102,-3.8%,,,288,-4.6%,
,"Non-TX, Non-US Resident",36,9.1%,100,12.4%,179,16.2%,,,315,14.1%,
SCH Categories,< 6 SCH,800,8.4%,134,-11.3%,103,14.4%,,,1037,5.9%,
,6-8 SCH,934,2.4%,289,7.8%,294,5.8%,,,1517,4.0%,
,9-11 SCH,446,5.2%,26,62.5%,5,-37.5%,,,477,6.5%,
,12-14 SCH,327,18.5%,7,-56.3%,4,100.0%,,,338,15.8%,
,15-17 SCH,36,2.9%,2,100.0%,0,-100.0%,,,38,2.7%,
,>17 SCH,10,-16.7%,,,,,,,10,-16.7%,
Ft/Pt: TAMU,Less Than Half Time,162,29.6%,65,-17.7%,74,34.5%,,,301,16.2%,
Status,Half-Time,792,10.9%,23,-8.0%,17,70.0%,,,832,11.1%,
,Three-Quarter Time,3,100.0%,,,,,,,3,100.0%,
,Full-Time,1596,2.4%,370,6.3%,315,1.0%,,,2281,2.8%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
