Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1897,-8.4%,401,3.9%,66,-2.9%,,,2364,-6.3%,
Gender,Female,1034,-9.9%,201,25.6%,25,-10.7%,,,1260,-5.7%,
,Male,863,-6.4%,200,-11.5%,41,2.5%,,,1104,-7.1%,
Ethnicity,White,1602,-10.9%,296,8.8%,30,-3.2%,,,1928,-8.2%,
,Black,34,9.7%,4,-20.0%,2,-33.3%,,,40,2.6%,
,Hispanic,127,-3.1%,14,16.7%,3,-25.0%,,,144,-2.0%,
,Asian,73,40.4%,11,57.1%,,,,,84,42.4%,
,American Indian,10,100.0%,1,100.0%,1,-50.0%,,,12,71.4%,
,International,22,-12.0%,65,-24.4%,29,7.4%,,,116,-15.9%,
,Unknown/Other,29,0.0%,10,150.0%,1,0.0%,,,40,17.6%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,1052,-5.7%,2,-33.3%,,,,,1054,-5.7%,
,22-25,806,-9.8%,266,16.7%,2,0.0%,,,1074,-4.4%,
,26-30,24,-41.5%,93,-17.7%,20,5.3%,,,137,-20.8%,
,31-39,11,-15.4%,32,-11.1%,28,-9.7%,,,71,-11.3%,
,40+,4,-33.3%,8,33.3%,16,0.0%,,,28,0.0%,
Enrollment,1st Time in College,11,0.0%,,,,,,,11,0.0%,
Status,1st Time PB,1,100.0%,,,,,,,1,100.0%,
,1st Time Graduate,,,154,13.2%,2,100.0%,,,156,14.7%,
,1st Time Transfer,12,-20.0%,,,,,,,12,-20.0%,
,Readmitted,18,-5.3%,0,-100.0%,,,,,18,-10.0%,
,Continuing,1855,-8.4%,247,-0.8%,64,-5.9%,,,2166,-7.5%,
Tuition Status,Resident Tuition,1830,-7.7%,310,19.7%,22,0.0%,,,2162,-4.5%,
,Non-Resident Tuition,39,-27.8%,13,-68.3%,10,-16.7%,,,62,-42.1%,
,Tuition Exemption/Waiver,28,-17.6%,78,-9.3%,34,0.0%,,,140,-9.1%,
Residency,Texas Resident,1832,-7.7%,311,20.1%,23,-4.2%,,,2166,-4.5%,
Status,"Non-TX, US Resident",41,-32.8%,23,-43.9%,14,-17.6%,,,78,-34.5%,
,"Non-TX, Non-US Resident",24,-4.0%,67,-22.1%,29,7.4%,,,120,-13.0%,
SCH Categories,< 6 SCH,479,-11.9%,85,-26.7%,20,-20.0%,,,584,-14.7%,
,6-8 SCH,739,-3.9%,153,7.7%,44,2.3%,,,936,-1.9%,
,9-11 SCH,363,-12.5%,81,2.5%,2,100.0%,,,446,-9.7%,
,12-14 SCH,291,-8.2%,76,61.7%,,,,,367,0.8%,
,15-17 SCH,21,-12.5%,6,500.0%,,,,,27,8.0%,
,>17 SCH,4,300.0%,0,-100.0%,,,,,4,100.0%,
Ft/Pt: TAMU,Less Than Half Time,65,-46.7%,7,-22.2%,14,-33.3%,,,86,-43.4%,
Status,Half-Time,544,-4.2%,31,-3.1%,3,50.0%,,,578,-4.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,1288,-6.7%,363,5.2%,49,8.9%,,,1700,-4.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
