Demographic Summary,,,,,
for the Corps of Cadets Summer 2002,,,,,
Summer 2002,,Not in Corps,In Corps,Grand Total,
Head Count,Total,18655,504,19159,
Gender,Female,9229,42,9271,
,Male,9426,462,9888,
Ethnicity,White,13521,415,13936,
,Black,527,5,532,
,Hispanic,1434,63,1497,
,Asian,599,6,605,
,American Indian,81,4,85,
,International,2207,2,2209,
,Unknown/Other,286,9,295,
TAMU Age,<18,7,,7,
Categories,18-21,6391,325,6716,
,22-25,8108,154,8262,
,26-30,2077,24,2101,
,31-39,1397,1,1398,
,40+,675,,675,
College,Agriculture,3327,90,3417,
,Architecture,729,31,760,
,Business Admin,2315,49,2364,
,Education,2465,17,2482,
,Engineering,3799,127,3926,
,G. Bush School of Govt,51,,51,
,Geosciences,379,7,386,
,Liberal Arts,3083,112,3195,
,Science,1094,10,1104,
,Veterinary Medicine,831,10,841,
,General Studies,532,51,583,
,Other - Special Populations,50,,50,
Enrollment,1st Time in College,204,6,210,
Status,1st Time PB,7,,7,
,1st Time Graduate,388,1,389,
,1st Time Transfer,292,,292,
,Readmitted,133,2,135,
,Continuing,17631,495,18126,
Tuition Status,Resident Tuition,15188,460,15648,
,Non-Resident Tuition,1067,5,1072,
,Tuition Exemption/Waiver,2400,39,2439,
Residency Status,Texas Resident,15227,462,15689,
,"Non-TX, US Resident",1197,40,1237,
,"Non-TX, Non-US Resident",2231,2,2233,
SCH Categories,< 6 SCH,5245,122,5367,
,6-8 SCH,8208,218,8426,
,9-11 SCH,2991,88,3079,
,12-14 SCH,2018,68,2086,
,15-17 SCH,166,8,174,
,>17 SCH,27,,27,
Ft/Pt:  TAMU,Less Than Half Time,1310,18,1328,
Status,Half-Time,4261,121,4382,
,Three-Quarter Time,17,,17,
,Full-Time,13067,365,13432,
"Prepared by OISP, 09 Aug 02",,,,,
