"Summer 2002
G. Bush School       BUSH  of Govt                    Subtotal
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD Populations              COFD
SABX SRPH
Subtotal
Total",White,,Black,,,Hispanic,,Asian,,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,,% chg,#,% chg,#,,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,41,7.9%,,2,100.0%,5,25.0%,,,,,1,100.0%,1,0.0%,,1,100.0%,51,15.9%,
,41,7.9%,,2,100.0%,5,25.0%,,,,,1,100.0%,1,0.0%,,1,100.0%,51,15.9%,
,68,3.0%,,,,2,100.0%,,0,-100.0%,,,,15,0.0%,,1,-66.7%,86,0.0%,
,103,27.2%,,1,-66.7%,8,33.3%,,1,-50.0%,,0,-100.0%,8,300.0%,,1,100.0%,122,28.4%,
,69,-2.8%,,,,6,0.0%,,2,-33.3%,,1,-50.0%,36,-2.7%,,2,0.0%,116,-4.1%,
,32,-11.1%,,,,2,100.0%,,1,0.0%,,,,26,4.0%,,1,0.0%,62,-3.1%,
,272,7.1%,,1,-66.7%,18,28.6%,,4,-42.9%,,1,-66.7%,85,7.6%,,5,-16.7%,386,5.5%,
,66,-4.3%,,,,11,10.0%,,0,-100.0%,,,,7,40.0%,,2,0.0%,86,-2.3%,
,93,29.2%,,5,66.7%,26,23.8%,,8,166.7%,,,,2,100.0%,,2,100.0%,136,36.0%,
,298,35.5%,,6,50.0%,33,65.0%,,14,16.7%,,2,100.0%,31,82.4%,,8,0.0%,392,39.0%,
,260,9.2%,,6,100.0%,26,-16.1%,,2,-33.3%,,1,0.0%,6,-45.5%,,6,200.0%,307,6.2%,
,200,8.7%,,5,25.0%,23,-11.5%,,3,50.0%,,1,-75.0%,,,,4,-33.3%,236,4.4%,
,281,-4.7%,,8,-38.5%,19,-51.3%,,4,-60.0%,,1,-75.0%,6,0.0%,,3,0.0%,322,-13.0%,
,20,-23.1%,,0,-100.0%,15,36.4%,,0,-100.0%,,,,0,-100.0%,,0,-100.0%,35,-18.6%,
,42,44.8%,,,,1,100.0%,,3,-40.0%,,,,,,,3,200.0%,49,40.0%,
,376,16.8%,,15,87.5%,45,40.6%,,7,0.0%,,3,0.0%,8,-11.1%,,6,0.0%,460,18.9%,
,16,433.3%,,0,-100.0%,7,133.3%,,,,,,,,,,,,23,228.6%,
,527,14.3%,,18,0.0%,70,-4.1%,,25,8.7%,,3,0.0%,6,50.0%,,8,0.0%,657,11.4%,
,289,23.5%,,6,-40.0%,26,-3.7%,,7,75.0%,,3,50.0%,6,500.0%,,3,-57.1%,340,19.3%,
,119,16.7%,,6,20.0%,13,-23.5%,,4,-42.9%,,0,-100.0%,8,14.3%,,2,100.0%,152,8.6%,
,2587,14.7%,,75,7.1%,315,1.6%,,77,-3.8%,,14,-26.3%,80,31.1%,,47,0.0%,3195,12.4%,
,327,9.7%,,20,11.1%,51,15.9%,,36,5.9%,,0,-100.0%,14,-44.0%,,9,0.0%,457,6.5%,
,135,-4.9%,,8,-11.1%,19,35.7%,,15,50.0%,,1,0.0%,94,9.3%,,12,140.0%,284,6.4%,
,114,20.0%,,1,0.0%,7,-12.5%,,6,100.0%,,0,-100.0%,41,-12.8%,,8,700.0%,177,13.5%,
,56,-12.5%,,1,-75.0%,2,-33.3%,,4,33.3%,,,,64,1.6%,,4,300.0%,131,-5.1%,
,13,-13.3%,,1,0.0%,2,0.0%,,1,0.0%,,,,38,-2.6%,,,,55,-5.2%,
,645,5.0%,,31,-6.1%,81,14.1%,,62,21.6%,,1,-66.7%,251,-3.5%,,33,106.3%,1104,5.3%,
,600,-13.5%,,18,5.9%,54,-21.7%,,32,-20.0%,,3,-57.1%,1,-50.0%,,13,-18.8%,721,-14.7%,
,18,-14.3%,,,,0,-100.0%,,0,-100.0%,,,,11,57.1%,,1,100.0%,30,0.0%,
,5,0.0%,,,,,,,,,,,,,,,,,5,0.0%,
,3,0.0%,,,,,,,,,,,,,,,,,3,0.0%,
,31,19.2%,,1,0.0%,2,-50.0%,,1,0.0%,,,,13,8.3%,,1,0.0%,49,8.9%,
,15,-11.8%,,1,0.0%,1,100.0%,,2,100.0%,,,,13,-7.1%,,1,100.0%,33,0.0%,
