Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,583,14.3%,,,,,,,583,14.3%,
Gender,Female,270,17.9%,,,,,,,270,17.9%,
,Male,313,11.4%,,,,,,,313,11.4%,
Ethnicity,White,410,13.9%,,,,,,,410,13.9%,
,Black,52,18.2%,,,,,,,52,18.2%,
,Hispanic,87,22.5%,,,,,,,87,22.5%,
,Asian,24,33.3%,,,,,,,24,33.3%,
,American Indian,0,-100.0%,,,,,,,0,-100.0%,
,International,4,300.0%,,,,,,,4,300.0%,
,Unknown/Other,6,-53.8%,,,,,,,6,-53.8%,
TAMU Age,<18,2,0.0%,,,,,,,2,0.0%,
Categories,18-21,559,17.2%,,,,,,,559,17.2%,
,22-25,19,-20.8%,,,,,,,19,-20.8%,
,26-30,2,-50.0%,,,,,,,2,-50.0%,
,31-39,1,-66.7%,,,,,,,1,-66.7%,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,165,19.6%,,,,,,,165,19.6%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,5,-16.7%,,,,,,,5,-16.7%,
,Readmitted,4,100.0%,,,,,,,4,100.0%,
,Continuing,409,11.7%,,,,,,,409,11.7%,
Tuition Status,Resident Tuition,556,15.6%,,,,,,,556,15.6%,
,Non-Resident Tuition,21,-4.5%,,,,,,,21,-4.5%,
,Tuition Exemption/Waiver,6,-14.3%,,,,,,,6,-14.3%,
Residency,Texas Resident,561,15.7%,,,,,,,561,15.7%,
Status,"Non-TX, US Resident",17,-29.2%,,,,,,,17,-29.2%,
,"Non-TX, Non-US Resident",5,400.0%,,,,,,,5,400.0%,
SCH Categories,< 6 SCH,176,46.7%,,,,,,,176,46.7%,
,6-8 SCH,151,-24.5%,,,,,,,151,-24.5%,
,9-11 SCH,73,52.1%,,,,,,,73,52.1%,
,12-14 SCH,183,28.9%,,,,,,,183,28.9%,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt: TAMU,Less Than Half Time,13,30.0%,,,,,,,13,30.0%,
Status,Half-Time,180,50.0%,,,,,,,180,50.0%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,390,2.6%,,,,,,,390,2.6%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
