Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2631,-5.5%,724,-8.6%,571,5.2%,,,3926,-4.7%,
Gender,Female,571,-2.2%,115,-20.1%,89,25.4%,,,775,-3.0%,
,Male,2060,-6.3%,609,-6.0%,482,2.1%,,,3151,-5.1%,
Ethnicity,White,1881,-5.6%,160,8.8%,71,-7.8%,,,2112,-4.7%,
,Black,89,11.3%,7,40.0%,7,16.7%,,,103,13.2%,
,Hispanic,272,-1.8%,17,13.3%,5,-16.7%,,,294,-1.3%,
,Asian,198,-15.4%,12,-14.3%,7,75.0%,,,217,-13.9%,
,American Indian,11,-8.3%,,,,,,,11,-8.3%,
,International,131,-10.3%,526,-13.8%,480,6.9%,,,1137,-5.6%,
,Unknown/Other,49,16.7%,2,100.0%,1,0.0%,,,52,18.2%,
TAMU Age,<18,3,-25.0%,,,,,,,3,-25.0%,
Categories,18-21,1150,-11.7%,5,400.0%,,,,,1155,-11.4%,
,22-25,1319,2.5%,411,-10.3%,37,15.6%,,,1767,-0.6%,
,26-30,111,-6.7%,216,-12.2%,259,5.7%,,,586,-3.9%,
,31-39,42,-20.8%,74,-6.3%,242,3.0%,,,358,-2.5%,
,40+,6,-66.7%,18,125.0%,33,6.5%,,,57,0.0%,
Enrollment,1st Time in College,8,-92.5%,,,,,,,8,-92.5%,
Status,1st Time PB,2,-33.3%,,,,,,,2,-33.3%,
,1st Time Graduate,,,32,-5.9%,10,42.9%,,,42,2.4%,
,1st Time Transfer,65,-11.0%,,,,,,,65,-11.0%,
,Readmitted,15,-25.0%,1,100.0%,1,0.0%,,,17,-19.0%,
,Continuing,2541,-1.5%,691,-8.8%,560,4.7%,,,3792,-2.1%,
Tuition Status,Resident Tuition,2383,-5.0%,144,9.1%,51,4.1%,,,2578,-4.1%,
,Non-Resident Tuition,146,-12.0%,164,-14.1%,118,22.9%,,,428,-5.5%,
,Tuition Exemption/Waiver,102,-6.4%,416,-11.3%,402,1.0%,,,920,-5.7%,
Residency,Texas Resident,2386,-5.1%,144,9.1%,52,4.0%,,,2582,-4.2%,
Status,"Non-TX, US Resident",107,-12.3%,52,4.0%,39,-9.3%,,,198,-7.9%,
,"Non-TX, Non-US Resident",138,-6.8%,528,-13.4%,480,6.7%,,,1146,-5.1%,
SCH Categories,< 6 SCH,819,-10.3%,206,-10.4%,117,11.4%,,,1142,-8.5%,
,6-8 SCH,1106,-8.2%,483,-7.5%,442,4.7%,,,2031,-5.5%,
,9-11 SCH,555,9.5%,35,-10.3%,11,-15.4%,,,601,7.5%,
,12-14 SCH,141,-8.4%,0,-100.0%,1,0.0%,,,142,-9.0%,
,15-17 SCH,9,125.0%,,,,,,,9,125.0%,
,>17 SCH,1,100.0%,,,0,-100.0%,,,1,-50.0%,
Ft/Pt: TAMU,Less Than Half Time,226,18.9%,98,-24.6%,87,11.5%,,,411,3.3%,
Status,Half-Time,874,-4.4%,61,7.0%,18,28.6%,,,953,-3.2%,
,Three-Quarter Time,2,100.0%,,,,,,,2,100.0%,
,Full-Time,1529,-8.9%,565,-6.6%,466,3.3%,,,2560,-6.4%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
