Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1546,13.4%,457,8.0%,479,1.7%,,,2482,10.0%,
Gender,Female,1261,13.7%,342,5.6%,319,6.3%,,,1922,10.9%,
,Male,285,12.2%,115,16.2%,160,-6.4%,,,560,6.9%,
Ethnicity,White,1347,13.5%,363,16.3%,325,6.9%,,,2035,12.9%,
,Black,41,7.9%,18,-21.7%,47,-16.1%,,,106,-9.4%,
,Hispanic,116,9.4%,50,6.4%,64,-1.5%,,,230,5.5%,
,Asian,12,100.0%,2,-71.4%,5,150.0%,,,19,26.7%,
,American Indian,12,100.0%,2,-33.3%,2,-33.3%,,,16,33.3%,
,International,2,-33.3%,19,-20.8%,28,-9.7%,,,49,-15.5%,
,Unknown/Other,16,-5.9%,3,-57.1%,8,-20.0%,,,27,-20.6%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,655,4.0%,3,100.0%,,,,,658,4.4%,
,22-25,830,24.4%,132,6.5%,13,30.0%,,,975,21.7%,
,26-30,37,-11.9%,102,6.3%,73,-7.6%,,,212,-2.3%,
,31-39,18,5.9%,113,43.0%,156,6.8%,,,287,18.6%,
,40+,5,-28.6%,107,-13.7%,237,0.4%,,,349,-4.9%,
Enrollment,1st Time in College,7,600.0%,,,,,,,7,600.0%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,65,12.1%,22,144.4%,,,87,29.9%,
,1st Time Transfer,53,-5.4%,,,,,,,53,-5.4%,
,Readmitted,10,-23.1%,4,300.0%,1,0.0%,,,15,0.0%,
,Continuing,1476,14.3%,388,6.6%,456,-1.1%,,,2320,9.6%,
Tuition Status,Resident Tuition,1511,13.1%,392,13.0%,408,4.1%,,,2311,11.4%,
,Non-Resident Tuition,19,18.8%,35,-7.9%,17,-26.1%,,,71,-7.8%,
,Tuition Exemption/Waiver,16,45.5%,30,-21.1%,54,-3.6%,,,100,-4.8%,
Residency,Texas Resident,1514,13.3%,396,13.8%,407,3.8%,,,2317,11.6%,
Status,"Non-TX, US Resident",30,25.0%,42,-17.6%,43,-10.4%,,,115,-6.5%,
,"Non-TX, Non-US Resident",2,-33.3%,19,-20.8%,29,-6.5%,,,50,-13.8%,
SCH Categories,< 6 SCH,352,1.7%,116,-15.3%,235,3.5%,,,703,-1.0%,
,6-8 SCH,531,11.8%,210,18.0%,157,18.0%,,,898,14.2%,
,9-11 SCH,327,41.6%,103,28.8%,67,-19.3%,,,497,26.1%,
,12-14 SCH,303,11.0%,23,-14.8%,18,-14.3%,,,344,7.2%,
,15-17 SCH,30,0.0%,5,400.0%,2,-71.4%,,,37,-2.6%,
,>17 SCH,3,-62.5%,,,,,,,3,-62.5%,
Ft/Pt: TAMU,Less Than Half Time,25,78.6%,2,-85.7%,143,9.2%,,,170,6.9%,
Status,Half-Time,356,-3.8%,14,27.3%,24,-35.1%,,,394,-5.7%,
,Three-Quarter Time,2,100.0%,,,,,,,2,100.0%,
,Full-Time,1163,18.8%,441,10.8%,312,3.0%,,,1916,14.0%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
