"Summer 2002
Geosciences             ATMO GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SCOM SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
1
1
1
1
1
5
2
2
10
10
165
165
210","1st Time PB
1
1
1
1
7","1st Time Transfer
3
2
5
3
1
1
2
3
12
10
5
5
42
7
7
3
3
5
5
292","Readmitted
1
1
2
2
7
4
2
2
1
6
6
32
4
1
5
6
6
4
4
124","Continuing
42
89
51
182
46
133
355
259
206
307
32
34
406
23
570
304
117
2792
393
74
92
22
581
577
577
409
409
16
16
13382",1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,4,7,25,1,4,13,124,86,
,,,,,,,,12,,,16,,122,
,,,,,,1,,34,,,28,,116,
,,,,,,,,33,,,29,,62,
,,,,,,5,,104,1,,86,,386,
,,,,,,,,31,,,9,,86,
,,,,,,,,,,,,,136,
,,,,,,1,,8,,,23,,392,
,,,,,,,,9,,,30,,307,
,,,,,,1,,4,,,20,,236,
,,,,,,1,,10,,,,,322,
,,,,,,,,1,,,,,35,
,,,,,,,,12,,,,,49,
,,,,,,,,13,,,27,,460,
,,,,,,,,,,,,,23,
,,,,,,,,28,,,42,,657,
,,,,,,,,10,1,,13,,340,
,,,,,,,,12,,,18,,152,
,,,,,,3,,138,1,,182,,3195,
,,,,,,1,,17,,,33,,457,
,,,,,,2,,69,1,,138,,284,
,,,,,,2,,47,,,35,,177,
,,,,,,,,44,2,,63,,131,
,,,,,,,,23,,,32,,55,
,,,,,,5,,200,3,,301,,1104,
,,,,,,,,,,,,,721,
,,,,,,2,,5,,,23,,30,
,,,,,,1,,4,,,,,5,
,,,,,,,,3,,,,,3,
,,,,,,,,21,,,28,,49,
,,,,,,,,11,,,22,,33,
,,,,,,3,,44,,,73,124,841,
,,,,,,,,,,,,,583,
,,,,,,,,,,,,,583,
,,,,,,,,7,,,,,7,
,,,,,,7,,10,,,,,17,
,,,,,,,,,,,,,16,
,,,,,,,,10,,,,,10,
,,,,,,7,,27,,,,,50,
,,,,,,342,,2457,47,,2163,124,19159,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,,,
