Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,14015,3.1%,2806,0.5%,2214,4.5%,124,-7.5%,19159,2.8%,
Gender,Female,7145,4.7%,1228,3.6%,815,6.7%,83,-9.8%,9271,4.6%,
,Male,6870,1.5%,1578,-1.9%,1399,3.2%,41,-2.4%,9888,1.2%,
Ethnicity,White,11298,3.1%,1580,5.8%,945,3.8%,113,-6.6%,13936,3.4%,
,Black,418,10.3%,48,-7.7%,66,-10.8%,,,532,5.3%,
,Hispanic,1249,2.5%,139,3.7%,106,-7.0%,3,-40.0%,1497,1.8%,
,Asian,504,1.0%,53,-8.6%,41,13.9%,7,40.0%,605,1.2%,
,American Indian,74,12.1%,6,-14.3%,5,-37.5%,0,-100.0%,85,2.4%,
,International,237,-7.4%,943,-7.6%,1029,8.1%,,,2209,-0.9%,
,Unknown/Other,235,9.8%,37,32.1%,22,-12.0%,1,0.0%,295,10.1%,
TAMU Age,<18,7,0.0%,,,,,,,7,0.0%,
Categories,18-21,6702,-0.1%,13,62.5%,1,100.0%,,,6716,0.0%,
,22-25,6684,7.4%,1381,0.1%,152,10.1%,45,-30.8%,8262,5.9%,
,26-30,426,-2.3%,814,-1.2%,807,2.7%,54,3.8%,2101,0.1%,
,31-39,161,0.0%,385,5.2%,833,6.1%,19,18.8%,1398,5.3%,
,40+,35,-41.7%,213,-0.9%,421,2.7%,6,500.0%,675,-1.6%,
Enrollment,1st Time in College,210,-25.0%,,,,,,,210,-25.0%,
Status,1st Time PB,7,-56.3%,,,,,,,7,-56.3%,
,1st Time Graduate,,,342,12.9%,47,80.8%,,,389,18.2%,
,1st Time Transfer,292,-14.6%,,,,,,,292,-14.6%,
,Readmitted,124,-17.3%,7,16.7%,4,33.3%,,,135,-15.1%,
,Continuing,13382,4.5%,2457,-1.1%,2163,3.5%,124,-7.5%,18126,3.5%,
Tuition Status,Resident Tuition,13304,3.8%,1442,9.2%,785,4.1%,117,-7.1%,15648,4.2%,
,Non-Resident Tuition,416,-11.1%,368,-11.8%,286,7.5%,2,-50.0%,1072,-7.2%,
,Tuition Exemption/Waiver,295,-4.5%,996,-5.6%,1143,4.0%,5,25.0%,2439,-1.1%,
Residency,Texas Resident,13329,3.9%,1455,10.0%,788,3.7%,117,-7.1%,15689,4.3%,
Status,"Non-TX, US Resident",435,-12.8%,404,-9.8%,391,-3.5%,7,-12.5%,1237,-9.0%,
,"Non-TX, Non-US Resident",251,-2.7%,947,-7.3%,1035,8.5%,,,2233,0.0%,
SCH Categories,< 6 SCH,3862,0.7%,821,-10.2%,680,8.3%,4,-20.0%,5367,-0.3%,
,6-8 SCH,5347,-1.4%,1555,1.6%,1404,5.4%,120,-7.0%,8426,0.1%,
,9-11 SCH,2683,9.4%,295,19.9%,101,-13.7%,,,3079,9.3%,
,12-14 SCH,1939,13.8%,121,24.7%,26,-10.3%,,,2086,14.0%,
,15-17 SCH,157,9.0%,14,250.0%,3,-72.7%,,,174,9.4%,
,>17 SCH,27,-12.9%,0,-100.0%,0,-100.0%,,,27,-20.6%,
Ft/Pt: TAMU,Less Than Half Time,635,-3.9%,259,-19.6%,434,14.5%,,,1328,-2.5%,
Status,Half-Time,4074,5.5%,211,22.0%,93,4.5%,4,-55.6%,4382,6.0%,
,Three-Quarter Time,17,100.0%,,,,,,,17,100.0%,
,Full-Time,9289,2.4%,2336,1.7%,1687,2.2%,120,-4.0%,13432,2.2%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
