Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2002,,,,,,,,,,,,
Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,5814,4.0%,816,10.3%,406,6.0%,75,-7.4%,7111,4.7%,
,Black,223,5.2%,26,-13.3%,52,-8.8%,,,301,0.7%,
,Hispanic,646,9.9%,77,2.7%,62,-3.1%,3,-25.0%,788,7.8%,
,Asian,226,4.1%,24,0.0%,22,10.0%,4,-20.0%,276,3.8%,
,American Indian,35,25.0%,2,-50.0%,3,50.0%,0,-100.0%,40,11.1%,
,International,85,4.9%,269,-9.4%,261,13.5%,,,615,1.2%,
,Unknown/Other,116,8.4%,14,-6.7%,9,12.5%,1,100.0%,140,7.7%,
,Subtotal,7145,4.7%,1228,3.6%,815,6.7%,83,-9.8%,9271,4.6%,
Male,White,5484,2.1%,764,1.5%,539,2.3%,38,-5.0%,6825,2.0%,
,Black,195,16.8%,22,0.0%,14,-17.6%,,,231,12.1%,
,Hispanic,603,-4.3%,62,5.1%,44,-12.0%,0,-100.0%,709,-4.2%,
,Asian,278,-1.4%,29,-14.7%,19,18.8%,3,100.0%,329,-0.9%,
,American Indian,39,2.6%,4,33.3%,2,-66.7%,,,45,-4.3%,
,International,152,-13.1%,674,-6.9%,768,6.4%,,,1594,-1.7%,
,Unknown/Other,119,11.2%,23,76.9%,13,-23.5%,0,-100.0%,155,12.3%,
,Subtotal,6870,1.5%,1578,-1.9%,1399,3.2%,41,-2.4%,9888,1.2%,
Grand Total,,14015,3.1%,2806,0.5%,2214,4.5%,124,-7.5%,19159,2.8%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
