Summer 2002,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,597,-16.0%,47,17.5%,73,-3.9%,124,-7.5%,841,-12.5%,
Gender,Female,396,-15.7%,28,47.4%,35,-2.8%,83,-9.8%,542,-12.2%,
,Male,201,-16.6%,19,-9.5%,38,-5.0%,41,-2.4%,299,-13.1%,
Ethnicity,White,487,-15.0%,34,13.3%,38,-9.5%,113,-6.6%,672,-12.3%,
,Black,18,5.9%,1,0.0%,1,0.0%,,,20,5.3%,
,Hispanic,51,-20.3%,2,-33.3%,1,-50.0%,3,-40.0%,57,-23.0%,
,Asian,25,-28.6%,1,100.0%,2,-33.3%,7,40.0%,35,-18.6%,
,American Indian,3,-40.0%,,,,,0,-100.0%,3,-57.1%,
,International,1,-50.0%,8,33.3%,29,7.4%,,,38,8.6%,
,Unknown/Other,12,-20.0%,1,100.0%,2,100.0%,1,0.0%,16,-5.9%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,360,-14.5%,,,,,,,360,-14.5%,
,22-25,218,-17.4%,18,5.9%,10,100.0%,45,-30.8%,291,-17.1%,
,26-30,13,-27.8%,20,25.0%,22,-29.0%,54,3.8%,109,-6.8%,
,31-39,4,-20.0%,8,33.3%,32,14.3%,19,18.8%,63,14.5%,
,40+,1,-66.7%,1,0.0%,9,-25.0%,6,500.0%,17,0.0%,
Enrollment,1st Time in College,10,66.7%,,,,,,,10,66.7%,
Status,1st Time PB,1,0.0%,,,,,,,1,0.0%,
,1st Time Graduate,,,3,-40.0%,,,,,3,-40.0%,
,1st Time Transfer,3,-57.1%,,,,,,,3,-57.1%,
,Readmitted,6,200.0%,,,,,,,6,200.0%,
,Continuing,577,-17.0%,44,25.7%,73,-3.9%,124,-7.5%,818,-13.0%,
Tuition Status,Resident Tuition,576,-16.3%,35,20.7%,25,-19.4%,117,-7.1%,753,-13.8%,
,Non-Resident Tuition,11,0.0%,5,150.0%,11,120.0%,2,-50.0%,29,31.8%,
,Tuition Exemption/Waiver,10,-16.7%,7,-22.2%,37,-7.5%,5,25.0%,59,-9.2%,
Residency,Texas Resident,575,-16.4%,35,20.7%,25,-19.4%,117,-7.1%,752,-14.0%,
Status,"Non-TX, US Resident",20,-4.8%,4,-20.0%,18,0.0%,7,-12.5%,49,-5.8%,
,"Non-TX, Non-US Resident",2,0.0%,8,33.3%,30,11.1%,,,40,14.3%,
SCH Categories,< 6 SCH,236,-16.3%,24,41.2%,24,26.3%,4,-20.0%,288,-10.8%,
,6-8 SCH,238,-9.2%,22,-4.3%,46,-16.4%,120,-7.0%,426,-9.2%,
,9-11 SCH,90,-27.4%,1,100.0%,3,200.0%,,,94,-24.8%,
,12-14 SCH,30,-23.1%,,,0,-100.0%,,,30,-25.0%,
,15-17 SCH,3,50.0%,,,,,,,3,50.0%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt: TAMU,Less Than Half Time,51,-36.3%,10,42.9%,17,54.5%,,,78,-20.4%,
Status,Half-Time,223,-3.0%,8,33.3%,6,20.0%,4,-55.6%,241,-3.6%,
,Three-Quarter Time,6,100.0%,,,,,,,6,100.0%,
,Full-Time,317,-20.9%,29,7.4%,50,-16.7%,120,-4.0%,516,-15.8%,
"Prepared by OISP, 09 Aug 02",,,,,,,,,,,,
