Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2911,5.5%,,,,,,,2911,5.5%,
Gender,Male,1534,10.0%,,,,,,,1534,10.0%,
,Female,1377,1.0%,,,,,,,1377,1.0%,
Ethnic,White,2383,5.7%,,,,,,,2383,5.7%,
Origin,Black,100,-5.7%,,,,,,,100,-5.7%,
,Hispanic,273,3.4%,,,,,,,273,3.4%,
,Asian,82,6.5%,,,,,,,82,6.5%,
,American Indian,17,30.8%,,,,,,,17,30.8%,
,International,18,50.0%,,,,,,,18,50.0%,
,Unknown/Other,38,18.8%,,,,,,,38,18.8%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,2697,3.5%,,,,,,,2697,3.5%,
,22-25,195,43.4%,,,,,,,195,43.4%,
,26-30,11,0.0%,,,,,,,11,0.0%,
,31-39,6,500.0%,,,,,,,6,500.0%,
,40+,1,-75.0%,,,,,,,1,-75.0%,
Enrollment,1st Time in College,22,-54.2%,,,,,,,22,-54.2%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,62,17.0%,,,,,,,62,17.0%,
,Re Admitted,18,-71.0%,,,,,,,18,-71.0%,
,Continuing,2809,8.2%,,,,,,,2809,8.2%,
Tuition,Resident Tuition,2782,6.6%,,,,,,,2782,6.6%,
Status,Non-Resident Tuition,92,4.5%,,,,,,,92,4.5%,
,Tuition Exemption/Waiver,37,-40.3%,,,,,,,37,-40.3%,
Residency,Texas Resident,2785,5.2%,,,,,,,2785,5.2%,
Status,"Non-TX, US Resident",106,7.1%,,,,,,,106,7.1%,
,"Non-TX, Non-US Resident",20,53.8%,,,,,,,20,53.8%,
SCH,< 6 SCH,18,-14.3%,,,,,,,18,-14.3%,
Categories,6-8 SCH,52,100.0%,,,,,,,52,100.0%,
,9-11 SCH,102,43.7%,,,,,,,102,43.7%,
,12-14 SCH,2168,7.8%,,,,,,,2168,7.8%,
,15-17 SCH,562,-9.5%,,,,,,,562,-9.5%,
,>17 SCH,9,0.0%,,,,,,,9,0.0%,
Ft/Pt:,Less Than Half Time,18,-5.3%,,,,,,,18,-5.3%,
TAMU,Half-Time,52,100.0%,,,,,,,52,100.0%,
Status,Three-Quarter Time,102,37.8%,,,,,,,102,37.8%,
,Full-Time,2739,3.8%,,,,,,,2739,3.8%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
