Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2812,6.2%,477,16.1%,611,-1.1%,,,3900,6.1%,
Gender,Male,531,0.2%,130,13.0%,225,-3.4%,,,886,0.9%,
,Female,2281,7.7%,347,17.2%,386,0.3%,,,3014,7.7%,
Ethnic,White,2483,7.0%,342,17.5%,412,-7.0%,,,3237,6.0%,
Origin,Black,50,4.2%,40,0.0%,69,25.5%,,,159,11.2%,
,Hispanic,200,-6.5%,58,52.6%,75,-7.4%,,,333,0.0%,
,Asian,23,4.5%,5,-16.7%,5,0.0%,,,33,0.0%,
,American Indian,14,-6.7%,1,-66.7%,4,33.3%,,,19,-9.5%,
,International,5,25.0%,29,3.6%,36,44.0%,,,70,22.8%,
,Unknown/Other,37,60.9%,2,-60.0%,10,66.7%,,,49,44.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1392,15.6%,1,100.0%,,,,,1393,15.7%,
,22-25,1311,-0.8%,135,6.3%,7,-36.4%,,,1453,-0.5%,
,26-30,70,-16.7%,120,20.0%,90,-10.0%,,,280,-1.4%,
,31-39,28,-3.4%,93,6.9%,198,11.2%,,,319,8.5%,
,40+,11,37.5%,128,32.0%,316,-4.0%,,,455,4.8%,
Enrollment,1st Time in College,4,-50.0%,,,,,,,4,-50.0%,
Status,1st Time PB,4,n/a,,,,,,,4,n/a,
,1st Time Graduate,,,23,-43.9%,12,-58.6%,,,35,-50.0%,
,1st Time Transfer,124,20.4%,,,,,,,124,20.4%,
,Re Admitted,22,29.4%,2,n/a,2,n/a,,,26,52.9%,
,Continuing,2658,5.5%,452,22.2%,597,1.4%,,,3707,6.6%,
Tuition,Resident Tuition,2743,6.4%,403,16.5%,515,1.4%,,,3661,6.7%,
Status,Non-Resident Tuition,41,7.9%,25,25.0%,34,25.9%,,,100,17.6%,
,Tuition Exemption/Waiver,28,-12.5%,49,8.9%,62,-25.3%,,,139,-13.1%,
Residency,Texas Resident,2745,6.6%,403,14.2%,516,-0.6%,,,3664,6.3%,
Status,"Non-TX, US Resident",62,-6.1%,45,50.0%,59,-20.3%,,,166,-2.4%,
,"Non-TX, Non-US Resident",5,0.0%,29,3.6%,36,44.0%,,,70,20.7%,
SCH,< 6 SCH,44,29.4%,152,3.4%,294,-2.0%,,,490,1.9%,
Categories,6-8 SCH,131,-17.1%,146,43.1%,79,3.9%,,,356,6.0%,
,9-11 SCH,228,3.2%,115,-4.2%,185,0.0%,,,528,0.4%,
,12-14 SCH,1391,6.4%,61,60.5%,48,6.7%,,,1500,7.9%,
,15-17 SCH,902,11.4%,3,-25.0%,4,-55.6%,,,909,10.4%,
,>17 SCH,116,-0.9%,,,1,-66.7%,,,117,-2.5%,
Ft/Pt:,Less Than Half Time,44,29.4%,139,-0.7%,243,-6.2%,,,426,-1.6%,
TAMU,Half-Time,131,104.7%,159,45.9%,130,11.1%,,,420,44.8%,
Status,Three-Quarter Time,228,57.2%,,,,,,,228,57.2%,
,Full-Time,2409,0.2%,179,10.5%,238,-1.7%,,,2826,0.6%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
