Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,3,-25.0%,,,,,3,-25.0%,
Gender,Male,,,2,-33.3%,,,,,2,-33.3%,
,Female,,,1,0.0%,,,,,1,0.0%,
Ethnic,White,,,2,-33.3%,,,,,2,-33.3%,
Origin,Black,,,0,-100.0%,,,,,0,-100.0%,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,1,100.0%,,,,,1,100.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,1,100.0%,,,,,1,100.0%,
,26-30,,,0,-100.0%,,,,,0,-100.0%,
,31-39,,,1,100.0%,,,,,1,100.0%,
,40+,,,1,-50.0%,,,,,1,-50.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,1,0.0%,,,,,1,0.0%,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,2,-33.3%,,,,,2,-33.3%,
Tuition,Resident Tuition,,,2,0.0%,,,,,2,0.0%,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,1,-50.0%,,,,,1,-50.0%,
Residency,Texas Resident,,,2,-50.0%,,,,,2,-50.0%,
Status,"Non-TX, US Resident",,,1,100.0%,,,,,1,100.0%,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,1,0.0%,,,,,1,0.0%,
Categories,6-8 SCH,,,2,-33.3%,,,,,2,-33.3%,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,1,0.0%,,,,,1,0.0%,
TAMU,Half-Time,,,2,-33.3%,,,,,2,-33.3%,
Status,Three-Quarter Time,,,,,,,,,,,
,Full-Time,,,,,,,,,,,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
