Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,7004,-2.3%,1121,6.4%,729,5.0%,,,8854,-0.7%,
Gender,Male,5598,-2.7%,897,8.6%,632,4.3%,,,7127,-0.8%,
,Female,1406,-0.9%,224,-1.8%,97,10.2%,,,1727,-0.5%,
Ethnic,White,5228,-3.3%,230,-15.1%,126,-18.2%,,,5584,-4.2%,
Origin,Black,197,-7.5%,8,0.0%,8,33.3%,,,213,-6.2%,
,Hispanic,707,2.0%,24,-4.0%,7,-30.0%,,,738,1.4%,
,Asian,470,2.2%,18,-30.8%,14,-6.7%,,,502,0.2%,
,American Indian,32,-17.9%,,,,,,,32,-17.9%,
,International,243,-6.5%,840,16.5%,572,12.8%,,,1655,11.2%,
,Unknown/Other,127,25.7%,1,-66.7%,2,0.0%,,,130,22.6%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,3729,-5.3%,3,200.0%,,,,,3732,-5.3%,
,22-25,2908,1.7%,608,18.8%,27,-3.6%,,,3543,4.3%,
,26-30,253,0.4%,364,-4.2%,302,1.7%,,,919,-1.1%,
,31-39,88,-4.3%,126,-7.4%,344,7.5%,,,558,1.8%,
,40+,26,0.0%,20,-20.0%,56,14.3%,,,102,2.0%,
Enrollment,1st Time in College,18,-33.3%,,,,,,,18,-33.3%,
Status,1st Time PB,10,n/a,,,,,,,10,n/a,
,1st Time Graduate,,,84,-39.6%,31,-18.4%,,,115,-35.0%,
,1st Time Transfer,132,7.3%,,,,,,,132,7.3%,
,Re Admitted,50,4.2%,,,,,,,50,4.2%,
,Continuing,6794,-2.6%,1037,13.3%,698,6.4%,,,8529,-0.2%,
Tuition,Resident Tuition,6391,-0.1%,198,-7.9%,92,-10.7%,,,6681,-0.5%,
Status,Non-Resident Tuition,327,-9.4%,232,12.1%,124,-1.6%,,,683,-1.6%,
,Tuition Exemption/Waiver,286,-30.9%,691,9.3%,513,10.3%,,,1490,-1.4%,
Residency,Texas Resident,6397,-1.3%,198,-16.1%,93,-8.8%,,,6688,-1.9%,
Status,"Non-TX, US Resident",361,-14.3%,82,-13.7%,61,-28.2%,,,504,-16.1%,
,"Non-TX, Non-US Resident",246,-8.9%,841,16.5%,575,13.4%,,,1662,10.9%,
SCH,< 6 SCH,217,-17.8%,110,-23.6%,114,-8.8%,,,441,-17.3%,
Categories,6-8 SCH,155,1.3%,38,-11.6%,14,0.0%,,,207,-1.4%,
,9-11 SCH,310,-6.9%,879,14.2%,574,8.3%,,,1763,8.0%,
,12-14 SCH,4363,0.6%,90,-3.2%,24,4.3%,,,4477,0.5%,
,15-17 SCH,1837,-6.4%,4,0.0%,3,200.0%,,,1844,-6.3%,
,>17 SCH,122,3.4%,,,0,-100.0%,,,122,2.5%,
Ft/Pt:,Less Than Half Time,217,361.7%,102,-23.3%,106,-8.6%,,,425,43.6%,
TAMU,Half-Time,155,1.3%,46,-13.2%,22,-4.3%,,,223,-2.6%,
Status,Three-Quarter Time,310,-7.7%,,,,,,,310,-7.7%,
,Full-Time,6322,-4.7%,973,12.1%,601,8.3%,,,7896,-2.0%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
