Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1931,-1.7%,52,15.6%,89,-4.3%,501,1.6%,2573,-0.8%,
Gender,Male,644,-2.7%,25,13.6%,45,-2.2%,163,0.6%,877,-1.7%,
,Female,1287,-1.2%,27,17.4%,44,-6.4%,338,2.1%,1696,-0.4%,
Ethnic,White,1519,-2.9%,36,2.9%,51,-8.9%,449,0.2%,2055,-2.3%,
Origin,Black,52,-23.5%,1,-50.0%,2,100.0%,,,55,-21.4%,
,Hispanic,206,3.5%,5,25.0%,3,-25.0%,24,14.3%,238,4.4%,
,Asian,102,15.9%,1,100.0%,3,0.0%,18,0.0%,124,13.8%,
,American Indian,11,-8.3%,,,,,4,0.0%,15,-6.3%,
,International,6,20.0%,9,125.0%,29,-3.3%,,,44,12.8%,
,Unknown/Other,35,25.0%,,,1,100.0%,6,200.0%,42,40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1265,-4.1%,,,,,3,200.0%,1268,-3.9%,
,22-25,620,3.0%,21,50.0%,4,33.3%,238,-0.4%,883,2.9%,
,26-30,31,14.8%,19,11.8%,35,-10.3%,191,2.7%,276,2.6%,
,31-39,11,22.2%,8,-33.3%,35,2.9%,57,-6.6%,111,-4.3%,
,40+,4,-42.9%,4,100.0%,15,-11.8%,12,100.0%,35,9.4%,
Enrollment,1st Time in College,7,-41.7%,,,,,,,7,-41.7%,
Status,1st Time PB,6,n/a,,,,,,,6,n/a,
,1st Time Graduate,,,5,66.7%,1,0.0%,,,6,50.0%,
,1st Time Transfer,16,-40.7%,,,,,,,16,-40.7%,
,Re Admitted,5,25.0%,,,,,,,5,25.0%,
,Continuing,1897,-1.2%,47,11.9%,88,-4.3%,501,1.6%,2533,-0.6%,
Tuition,Resident Tuition,1853,-0.6%,34,6.3%,36,-5.3%,477,2.4%,2400,-0.0%,
Status,Non-Resident Tuition,43,48.3%,2,-50.0%,9,-30.8%,7,-22.2%,61,10.9%,
,Tuition Exemption/Waiver,35,-50.0%,16,77.8%,44,4.8%,17,-5.6%,112,-19.4%,
Residency,Texas Resident,1853,-1.7%,34,6.3%,36,-7.7%,477,4.4%,2400,-0.6%,
Status,"Non-TX, US Resident",72,0.0%,9,0.0%,24,0.0%,24,-33.3%,129,-8.5%,
,"Non-TX, Non-US Resident",6,0.0%,9,125.0%,29,-3.3%,,,44,10.0%,
SCH,< 6 SCH,22,46.7%,25,47.1%,18,5.9%,,,65,32.7%,
Categories,6-8 SCH,37,5.7%,8,60.0%,1,-66.7%,,,46,7.0%,
,9-11 SCH,77,-1.3%,19,0.0%,66,-4.3%,,,162,-2.4%,
,12-14 SCH,1184,-1.3%,0,-100.0%,2,-33.3%,,,1186,-1.7%,
,15-17 SCH,568,-5.2%,0,-100.0%,2,100.0%,35,0.0%,605,-4.9%,
,>17 SCH,43,16.2%,,,,,466,1.7%,509,2.8%,
Ft/Pt:,Less Than Half Time,22,57.1%,14,40.0%,15,15.4%,,,51,37.8%,
TAMU,Half-Time,37,8.8%,19,58.3%,4,-42.9%,,,60,13.2%,
Status,Three-Quarter Time,77,-4.9%,,,,,,,77,-4.9%,
,Full-Time,1795,-2.2%,19,-17.4%,70,-4.1%,501,1.6%,2385,-1.6%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
