Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4928,4.5%,608,1.5%,476,0.8%,,,6012,3.9%,
Gender,Male,2598,4.1%,300,-1.3%,309,2.3%,,,3207,3.4%,
,Female,2330,4.8%,308,4.4%,167,-1.8%,,,2805,4.4%,
Ethnic,White,4240,4.9%,439,-2.0%,249,-4.2%,,,4928,3.7%,
Origin,Black,104,-4.6%,4,33.3%,1,-66.7%,,,109,-5.2%,
,Hispanic,334,6.4%,27,8.0%,18,5.9%,,,379,6.5%,
,Asian,72,-1.4%,12,9.1%,11,57.1%,,,95,4.4%,
,American Indian,19,0.0%,2,100.0%,,,,,21,5.0%,
,International,60,-11.8%,118,8.3%,191,7.9%,,,369,4.2%,
,Unknown/Other,99,6.5%,6,200.0%,6,-25.0%,,,111,7.8%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,2126,2.8%,0,-100.0%,,,,,2126,2.8%,
,22-25,2523,5.8%,319,8.9%,15,-21.1%,,,2857,6.0%,
,26-30,195,7.7%,188,-4.1%,168,-5.6%,,,551,-0.7%,
,31-39,59,3.5%,75,-5.1%,211,9.3%,,,345,4.9%,
,40+,25,-7.4%,26,-13.3%,82,0.0%,,,133,-4.3%,
Enrollment,1st Time in College,7,-56.3%,,,,,,,7,-56.3%,
Status,1st Time PB,4,n/a,,,,,,,4,n/a,
,1st Time Graduate,,,62,24.0%,17,0.0%,,,79,17.9%,
,1st Time Transfer,234,5.9%,,,,,,,234,5.9%,
,Re Admitted,65,4.8%,1,n/a,1,n/a,,,67,8.1%,
,Continuing,4618,4.5%,545,-0.7%,458,0.7%,,,5621,3.7%,
Tuition,Resident Tuition,4684,6.5%,351,6.7%,161,7.3%,,,5196,6.5%,
Status,Non-Resident Tuition,122,-14.7%,63,-7.4%,72,-19.1%,,,257,-14.3%,
,Tuition Exemption/Waiver,122,-30.3%,194,-4.0%,243,4.3%,,,559,-8.4%,
Residency,Texas Resident,4688,5.6%,351,1.4%,161,1.3%,,,5200,5.2%,
Status,"Non-TX, US Resident",179,-15.2%,139,-3.5%,122,-9.0%,,,440,-10.0%,
,"Non-TX, Non-US Resident",61,-10.3%,118,8.3%,193,8.4%,,,372,4.8%,
SCH,< 6 SCH,98,25.6%,136,-1.4%,117,-0.8%,,,351,5.1%,
Categories,6-8 SCH,164,-2.4%,36,12.5%,21,10.5%,,,221,0.9%,
,9-11 SCH,268,12.1%,382,0.0%,326,2.2%,,,976,3.8%,
,12-14 SCH,2696,6.8%,51,15.9%,10,-28.6%,,,2757,6.8%,
,15-17 SCH,1550,0.7%,3,50.0%,2,0.0%,,,1555,0.8%,
,>17 SCH,152,-10.6%,0,-100.0%,,,,,152,-11.1%,
Ft/Pt:,Less Than Half Time,98,38.0%,118,18.0%,96,-9.4%,,,312,12.6%,
TAMU,Half-Time,164,6.5%,54,-22.9%,42,44.8%,,,260,2.8%,
Status,Three-Quarter Time,268,13.1%,,,,,,,268,13.1%,
,Full-Time,4398,3.3%,436,1.6%,338,0.3%,,,5172,3.0%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
