Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2001,,,,,,,,,,,,
Spring 2001,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Male,White,14019,-0.9%,1158,-0.6%,760,-6.2%,151,-1.9%,16088,-1.1%,
,Black,335,-12.8%,32,23.1%,30,7.1%,,,397,-9.4%,
,Hispanic,1561,-2.6%,96,4.3%,62,-1.6%,3,50.0%,1722,-2.1%,
,Asian,654,-0.3%,43,-4.4%,25,-13.8%,4,0.0%,726,-1.1%,
,American Indian,91,8.3%,4,33.3%,6,50.0%,1,0.0%,102,10.9%,
,International,332,-8.3%,1019,19.2%,964,11.1%,,,2315,11.0%,
,Unknown/Other,299,13.7%,17,-22.7%,21,16.7%,4,300.0%,341,12.2%,
,Subtotal,17291,-1.2%,2369,7.3%,1868,2.6%,163,0.6%,21691,0.0%,
Female,White,13528,2.4%,952,2.4%,557,-8.8%,298,1.4%,15335,2.0%,
,Black,470,-6.7%,52,-14.8%,67,24.1%,,,589,-4.8%,
,Hispanic,1458,-0.1%,95,13.1%,78,-10.3%,21,10.5%,1652,0.1%,
,Asian,509,12.1%,30,-31.8%,25,38.9%,14,0.0%,578,9.1%,
,American Indian,67,-9.5%,3,-25.0%,3,50.0%,3,0.0%,76,-8.4%,
,International,143,-5.9%,424,19.8%,283,14.6%,,,850,12.9%,
,Unknown/Other,293,21.1%,20,25.0%,8,14.3%,2,100.0%,323,21.4%,
,Subtotal,16468,2.3%,1576,5.6%,1021,-0.5%,338,2.1%,19403,2.4%,
GRAND Total,,33759,0.5%,3945,6.6%,2889,1.5%,501,1.6%,41094,1.2%,
"Prepared by OISP, 06 Mar 01",,,,,,,,,,,,
